step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,6.27363e-06,0.00197777,0,0,0
100,0.000306917,0.00194731,65536,0,0
200,0.00040185,0.00190128,65536,0,0
300,0.000500319,0.00186527,65536,0,0
400,0.000596357,0.00184041,65536,0,0
500,0.00066988,0.00182614,65536,0,0
600,0.000716928,0.00182149,65536,0,0
700,0.000742229,0.00182487,65536,0,0
800,0.000751897,0.00183452,65536,0,0
900,0.000750923,0.00184887,65536,0,0
1000,0.000742895,0.00186666,65536,0,0
1100,0.000730238,0.00188683,65536,0,0
1200,0.000714598,0.00190865,65536,0,0
1300,0.000697074,0.0019315,65536,0,0
1400,0.000678409,0.00195496,65536,0,0
1500,0.000659122,0.00197873,65536,0,0
1600,0.000639558,0.00200253,65536,0,0
1700,0.000619965,0.00202623,65536,0,0
1800,0.000600514,0.00204966,65536,0,0
1900,0.000581331,0.00207276,65536,0,0
1999,0.000562681,0.0020952,65536,0,0
