step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00556714,0.0014644,13766,0.00278328,0.0358632,0.00434803,0.210052
100,3.23174,0.00309033,47038,0.0527639,0.26529,0.00502167,0.717743
200,8.66151,0.0010148,48841,0.0670149,0.287823,0.00579293,0.745255
300,13.025,0.00438745,49843,0.0738016,0.290788,0.00668125,0.760544
400,16.1115,0.00114195,50626,0.0780001,0.297915,0.00737345,0.772491
500,18.3938,0.00708261,51240,0.0807531,0.292483,0.00766047,0.78186
600,20.1567,0.010762,51770,0.0828382,0.292768,0.00807374,0.789948
700,21.8152,0.00958631,52279,0.0857799,0.327676,0.00847086,0.797714
800,23.1748,0.00620585,52693,0.0874134,0.309836,0.00876312,0.804031
900,24.5153,0.00465056,53001,0.088724,0.334194,0.00918716,0.808731
1000,25.6553,0.00519937,53237,0.089795,0.313878,0.0097234,0.812332
1100,26.7205,0.00338203,53496,0.0905065,0.33544,0.0102909,0.816284
1200,27.4933,0.00494806,53856,0.0920478,0.328609,0.0106531,0.821777
1300,28.7088,0.00433125,54020,0.0929577,0.323183,0.0109758,0.82428
1400,29.7978,0.00914157,54221,0.0938021,0.337109,0.0114869,0.827347
1500,30.8953,0.00664094,54538,0.0955805,0.321418,0.0121441,0.832184
1600,32.3481,0.00403091,54797,0.0969627,0.342649,0.0129374,0.836136
1700,33.6399,0.00196607,55010,0.0980553,0.348505,0.0134289,0.839386
1800,35.473,0.00334953,55421,0.099319,0.336085,0.0139422,0.845657
1900,36.7681,0.00239074,55517,0.0997405,0.323867,0.0144565,0.847122
1999,37.735,0.00103536,55533,0.100014,0.34264,0.0149227,0.847366
