step,residue_coherence,orientation_alignment,corridor_count
0,3.13562e-06,0.0021795,0
100,0.000153233,0.00211667,0
200,0.000199678,0.0019712,0
300,0.000247684,0.00179603,0
400,0.000294557,0.00162872,0
500,0.000330614,0.00148802,0
600,0.000353898,0.00137938,0
700,0.000366617,0.00130171,0
800,0.000371711,0.00125122,0
900,0.000371594,0.00122308,0
1000,0.000367997,0.00121229,0
1100,0.000362107,0.00121429,0
1200,0.000354712,0.0012252,0
1300,0.000346355,0.00124187,0
1400,0.000337399,0.00126197,0
1500,0.0003281,0.00128371,0
1600,0.00031863,0.00130589,0
1700,0.000309112,0.00132762,0
1800,0.000299642,0.00134842,0
1900,0.000290275,0.00136795,0
1999,0.000281146,0.00138588,0
