order_parameter,local_coherence_mean,step,time
0.09426940935682986,0.3892436575170467,0,0.0
0.07979314094303552,0.5705648294174033,10,0.5
0.04853178739519829,0.7008096169876235,20,1.0
0.04291878219186815,0.7588197624556663,30,1.5
0.044685425612354036,0.7897225120085115,40,2.0
0.04860351580945709,0.8083016297335038,50,2.5
0.0568952745707936,0.8220980230655937,60,3.0
0.06694825586468538,0.8334550903811133,70,3.5
0.07569455696340427,0.8427006666924615,80,4.0
0.08197694224551064,0.8500509039271145,90,4.5
0.08592814110204043,0.8560273961739062,100,5.0
0.0879497879645411,0.8610594960078893,110,5.5
0.08839042706356166,0.8654157637520191,120,6.0
0.08753180426242947,0.8692677401851923,130,6.5
0.08560247497383226,0.8727309376672319,140,7.0
0.082788381759391,0.8758863977426764,150,7.5
0.0792411838569833,0.8787927993439082,160,8.0
0.07508505914093266,0.8814937196226776,170,8.5
0.07042224692384333,0.8840222114492128,180,9.0
0.06533751745272678,0.8864038055155363,190,9.5
0.059901747894529,0.8886585427552185,200,10.0
0.05417478147161927,0.8908023861768353,210,10.5
0.04820774192210924,0.8928482225506441,220,11.0
0.042044985001839945,0.8948065857789029,230,11.5
0.03572593068855862,0.8966861872666507,240,12.0
0.029287255201400818,0.8984943100251982,250,12.5
0.02276682795484798,0.9002371050883553,260,13.0
0.01621504968282064,0.9019198169690044,270,13.5
0.009749006478450489,0.9035469569628094,280,14.0
0.004124060673919924,0.9051224377092136,290,14.5
0.005488868023723993,0.906649678683285,300,15.0
0.011610490796178386,0.9081316896692244,310,15.5
0.0181835401948967,0.9095711374036939,320,16.0
0.024830403097164087,0.9109703992405453,330,16.5
0.031477382607235906,0.9123316067205356,340,17.0
0.03809514235398025,0.9136566812225717,350,17.5
0.04466656820641953,0.9149473633524962,360,18.0
0.05117940239997489,0.9162052373392919,370,18.5
0.057623887852195306,0.9174317514200692,380,19.0
0.06399182822742394,0.9186282349780845,390,19.5
0.07027614425066346,0.9197959130335003,400,20.0
0.07647063317451425,0.9209359185610313,410,20.5
0.08256982209080173,0.9220493030121347,420,21.0
0.08856886913316221,0.923137045344711,430,21.5
0.09446349130572118,0.9242000598050942,440,22.0
0.10024990828034211,0.9252392026614271,450,22.5
0.10592479644373289,0.9262552780514091,460,23.0
0.1114852499371153,0.9272490430786775,470,23.5
0.11692874673219984,0.9282212122690516,480,24.0
0.12225311851133544,0.9291724614792949,490,24.5
0.12745652354160908,0.9301034313359671,500,25.0
0.13253742198874768,0.9310147302696192,510,25.5
0.13749455327787333,0.9319069371994539,520,26.0
0.14232691521302465,0.9327806039152012,530,26.5
0.14703374463759636,0.9336362571960124,540,27.0
0.15161449946617192,0.9344744007003627,550,27.5
0.15606884195226695,0.9352955166560843,560,28.0
0.16039662308103822,0.9361000673755537,570,28.5
0.16459786799405104,0.9368884966175824,580,29.0
0.1686727623667384,0.9376612308146246,590,29.5
0.17262163966953833,0.9384186801814052,600,30.0
0.17644496925176276,0.9391612397189368,610,30.5
0.1801433451936605,0.9398892901260598,620,31.0
0.18371747587732087,0.9406031986290726,630,31.5
0.18716817423133708,0.9413033197386653,640,32.0
0.19049634860773867,0.9419899959422071,650,32.5
0.19370299425276458,0.9426635583384276,660,33.0
0.19678918533571044,0.943324327220671,670,33.5
0.19975606750243233,0.9439726126141379,680,34.0
0.20260485092218622,0.9446087147718816,690,34.5
0.20533680379838162,0.945232924633757,700,35.0
0.20795324631556372,0.9458455242520198,710,35.5
0.2104555449965392,0.9464467871868485,720,36.0
0.212845107445047,0.9470369788746806,730,36.5
0.21512337745076612,0.947616356971927,740,37.0
0.21729183043475384,0.9481851716763415,750,37.5
0.21935196921463768,0.9487436660280653,760,38.0
0.22130532007003972,0.9492920761921513,770,38.5
0.22315342908981453,0.949830631724174,780,39.0
0.22489785878371293,0.9503595558203611,790,39.5
0.2265401849420761,0.9508790655535309,800,40.0
0.2280819937280946,0.9513893720959895,810,40.5
0.229524878988054,0.9518906809304222,820,41.0
0.2308704397658307,0.9523831920497103,830,41.5
0.2321202780086992,0.9528671001465117,840,42.0
0.23327599645226946,0.953342594793364,850,42.5
0.23433919667308872,0.9538098606139984,860,43.0
0.23531147729812396,0.9542690774464786,870,43.5
0.23619443236098234,0.9547204204987372,880,44.0
