step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00729181,0.00255454,28473,0.00364549,0.0421307,0.00628145,0.434464
100,5.82708,0.00547653,59413,0.129129,0.649163,0.00685025,0.90657
200,13.6729,0.00418029,57122,0.160881,0.692846,0.00717154,0.871613
300,19.0463,0.00711653,56878,0.176375,0.762881,0.00718273,0.867889
400,22.691,0.0067111,56901,0.184312,0.688758,0.00722083,0.86824
500,25.0821,0.0138366,57041,0.190205,0.752907,0.00746776,0.870377
600,27.0389,0.0128359,57152,0.195283,0.757968,0.00794942,0.87207
700,28.4291,0.00862272,57255,0.198509,0.803619,0.00830047,0.873642
800,30.0728,0.00319693,57431,0.203465,0.796739,0.00860758,0.876328
900,31.5874,0.00416327,57674,0.208488,0.845262,0.00877645,0.880035
1000,33.2237,0.00618323,57810,0.211861,0.790142,0.00908219,0.882111
1100,34.5963,0.00776374,58019,0.214509,0.795036,0.00957236,0.8853
1200,36.4924,0.00594713,58173,0.21739,0.80131,0.00988247,0.88765
1300,37.7236,0.00259,58303,0.219555,0.835402,0.0101787,0.889633
1400,39.2312,0.00125132,58477,0.223806,0.790906,0.010357,0.892288
1500,40.5877,0.00466667,58670,0.224987,0.887921,0.0107299,0.895233
1600,41.9745,0.00977395,58829,0.228146,0.766275,0.0111832,0.897659
1700,44.123,0.00962898,59051,0.231121,0.843846,0.0115548,0.901047
1800,45.8565,0.00505632,59125,0.233026,0.790302,0.0122381,0.902176
1900,47.558,0.00842537,59323,0.235402,0.832945,0.0128078,0.905197
1999,49.3968,0.00985113,59511,0.239,0.844432,0.0132553,0.908066
