step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.56993e-06,0.000734035,0,0,0
100,8.28637e-05,0.000747263,65536,0,0
200,9.77113e-05,0.000774525,65536,0,0
300,0.000103147,0.000805995,65536,0,0
400,0.000112709,0.000836934,65536,0,0
500,0.000125635,0.000865675,65536,0,0
600,0.00013886,0.000892132,65536,0,0
700,0.000150171,0.000916827,65536,0,0
800,0.000158674,0.000940268,65536,0,0
900,0.000164391,0.000962828,65536,0,0
1000,0.000167735,0.00098467,65536,0,0
1100,0.000169189,0.00100588,65536,0,0
1200,0.000169188,0.00102643,65536,0,0
1300,0.000168075,0.00104625,65536,0,0
1400,0.000166127,0.00106522,65536,0,0
1500,0.00016355,0.00108327,65536,0,0
1600,0.000160515,0.0011003,65536,0,0
1700,0.00015714,0.00111627,65536,0,0
1800,0.000153527,0.00113113,65536,0,0
1900,0.000149748,0.00114491,65536,0,0
1999,0.000145905,0.00115747,65536,0,0
