t,phase_error,continuation_mismatch,input_signal
0,0.06858450174331665,0.0,0.011983054023612275
1,0.08779531717300415,0.015841007232666016,0.2993501628158788
2,0.07857131958007812,0.0024110078811645508,0.4863730926292522
3,0.07588684558868408,0.11425107717514038,0.4827643121577169
4,0.07581508159637451,0.0015797615051269531,0.3141530100187805
5,0.07017028331756592,0.0002802610397338867,0.003669996092691351
6,0.06486642360687256,0.0022134780883789062,-0.307179220264131
7,0.05590391159057617,0.0020822882652282715,-0.5423970939336289
8,0.04321098327636719,0.12906748056411743,-0.5315804522139167
9,0.03156721591949463,0.0006065964698791504,-0.33160736112698447
10,0.015909016132354736,0.009066343307495117,0.02266488729039428
11,0.026746749877929688,0.06772798299789429,0.33326198523769174
12,0.022397935390472412,0.046571195125579834,0.5613622487063695
13,0.024859189987182617,0.008862674236297607,0.5346584691506645
14,0.027926087379455566,0.0014829039573669434,0.3020212836466701
15,0.03360152244567871,0.0016819238662719727,-0.045769483167618794
16,0.044248104095458984,0.009284794330596924,-0.34317662370848506
17,0.058523714542388916,0.13284438848495483,-0.5708498205779383
18,0.08014035224914551,0.0017699003219604492,-0.5768815358929242
19,0.10897302627563477,0.001031339168548584,-0.33075223009822863
20,0.15511161088943481,0.182844877243042,0.06616129599974165
21,0.1569610834121704,0.05132114887237549,0.4021103899637072
22,0.14167344570159912,0.041127562522888184,0.6211207070077708
23,0.07799756526947021,0.006500124931335449,0.5398759933519423
24,0.5315591096878052,0.0008542537689208984,0.307391664118383
25,1.0221366882324219,0.001914381980895996,-0.047930413951164375
26,1.1944491863250732,0.021023869514465332,-0.4135852584590156
27,1.2449387311935425,0.010035693645477295,-0.6869716624784652
28,1.2592408657073975,0.007387816905975342,-0.6285228410747966
29,1.2507514953613281,0.31741106510162354,-0.3405781728544611
30,1.2131667137145996,0.0040885210037231445,0.06663301643873853
31,1.200493335723877,0.012739896774291992,0.49396480004976623
32,1.1725397109985352,0.005625486373901367,0.6783129350587765
33,1.1315758228302002,0.005201935768127441,0.6498843972269122
34,1.0958925485610962,0.007013678550720215,0.36161076612397375
35,0.9666560888290405,0.0016504526138305664,-0.09851578648534107
36,0.9467612504959106,0.05075037479400635,-0.46690754297869175
