step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00159179,0.0020079,1648,0.00158869,0.0357397,0.00853207,0.100586
100,0.268657,0.00413334,9075,0.0786891,0.644207,0.00946026,0.553894
200,0.796254,0.0119262,11480,0.134389,0.802388,0.010594,0.700684
300,1.50136,0.00816517,12228,0.163494,0.837653,0.0113319,0.746338
400,2.19598,0.00370675,12618,0.182363,0.907046,0.0114358,0.770142
500,2.79337,0.00407663,12816,0.198544,0.944347,0.0115069,0.782227
600,3.29525,0.0111844,12985,0.208174,0.913074,0.0119426,0.792542
700,3.7672,0.0067317,13072,0.218238,1.01513,0.0120833,0.797852
800,4.14682,0.00939554,13173,0.221179,0.921987,0.0122052,0.804016
900,4.37888,0.00850759,13199,0.22722,0.934139,0.01236,0.805603
999,4.67391,0.00282936,13337,0.23475,1.03514,0.0128729,0.814026
