active_fraction,mean_mismatch,max_mismatch,mean_residue,step
0.006,0.0081,1.0,0.0009599636385026894,0
0.0072,0.007967156103478618,0.9976544633313795,0.016458773069571397,10
0.0132,0.007968263671393746,0.9976544633313795,0.029944848538919815,20
0.0172,0.007931813962344561,0.9976544633313795,0.04837887850946253,30
0.0208,0.0079046956186231,0.9976544633313795,0.0713490341824739,40
0.0176,0.007839435446590718,0.9976544633313795,0.09382301899823346,50
0.014,0.007863747864713085,0.9976544633313795,0.10822355219308506,60
0.0088,0.007806035889168456,0.9812168912233872,0.11455033706187123,70
0.0048,0.007845903548623908,0.9812168912233872,0.11442688918456524,80
0.0008,0.0077606371613064455,0.9812168912233872,0.10812533544769681,90
0.0008,0.007761006222741136,0.9812168912233872,0.09915554108138733,100
0.0008,0.007774284562656016,0.9812168912233872,0.09059566248711608,110
0.0004,0.0077277915089891056,0.9812168912233872,0.08285300705289182,120
0.0004,0.007686098994145837,0.9812168912233872,0.07561639858306594,130
0.0,0.007710089016079356,0.9812168912233872,0.0691252287676288,140
0.0016,0.007662614481072113,0.9595516283096669,0.06345947563496968,150
0.0,0.007662715509889324,0.9595516283096669,0.05787751159469429,160
0.0,0.007624623649725341,0.9595516283096669,0.053247907598077605,170
0.0032,0.007605446746662588,0.9595516283096669,0.04896619042076789,180
0.0008,0.007596745827355423,0.9595516283096669,0.04566575647287889,190
0.0,0.00762394798878274,0.9595516283096669,0.041910429517024055,200
0.0,0.0075714782832513325,0.9317408026488159,0.03907209074793739,210
0.0,0.0075541294725103856,0.9317408026488159,0.03583362440999189,220
0.0008,0.0075446372610868,0.9317408026488159,0.033545989459553574,230
0.0,0.00753569391364814,0.9317408026488159,0.030702475757912778,240
0.0008,0.007478667800366961,0.9317408026488159,0.028801905597639416,250
0.0,0.007468780823749589,0.9317408026488159,0.026662747407233057,260
0.0028,0.007491698980101725,0.900213585225831,0.02585502025045996,270
0.002,0.007500306426557631,0.900213585225831,0.024004724280260372,280
0.0,0.007461826508764733,0.900213585225831,0.022316970718900663,290
0.0,0.007418625666324398,0.900213585225831,0.021040239263158685,300
0.0,0.0073973415126981565,0.900213585225831,0.0196512899561723,310
0.0004,0.007414298956414575,0.900213585225831,0.018756775327112608,320
0.002,0.0073877990817124385,0.900213585225831,0.018254775699765146,330
0.0,0.007374987228879337,0.8689901428382637,0.017378358794675357,340
0.0008,0.007376994001218085,0.8689901428382637,0.016466366465975154,350
0.0008,0.007372672011923396,0.8689901428382637,0.01579726602759545,360
0.0016,0.007353694224285274,0.8689901428382637,0.015153351417480442,370
0.0,0.007313808120144235,0.8689901428382637,0.014487244396470766,380
0.0008,0.007330931792074679,0.8689901428382637,0.01370542720080945,390
0.0004,0.007293995447070294,0.8689901428382637,0.013621645114322123,400
0.0008,0.007296382858681373,0.8391184641982649,0.012708909489597377,410
0.0,0.0072622214780061175,0.8391184641982649,0.01246829928391643,420
0.0,0.007255616394952625,0.8391184641982649,0.012130767833572607,430
0.0004,0.007256684642450473,0.8391184641982649,0.0116437223128535,440
0.0004,0.007241588696716215,0.8391184641982649,0.012124953752101118,450
0.0016,0.00722357254076791,0.8391184641982649,0.011898597542223556,460
0.0009,0.007220751681586631,0.8064271183608269,0.011889999513903824,470
0.0,0.007220411571361884,0.8064271183608269,0.01129794907267003,480
0.0008,0.007204755070576532,0.8064271183608269,0.010827320085284952,490
0.0008,0.007164954372001584,0.8064271183608269,0.01053302968650323,500
0.0008,0.007161069730855877,0.8064271183608269,0.010381289890144682,510
0.0012,0.007153671520456547,0.8064271183608269,0.01079893566637419,520
0.0,0.007154790779995983,0.8064271183608269,0.01030992619131218,530
0.0,0.007148292528947301,0.8064271183608269,0.010315419119914895,540
0.0008,0.007117048874479855,0.7762539980826573,0.010202096068176831,550
0.0,0.007121798133533466,0.7762539980826573,0.009942464189890187,560
0.002,0.0070849608409655875,0.7762539980826573,0.009983914348452765,570
0.0,0.007102913117482488,0.7762539980826573,0.00980359539236964,580
0.0016,0.007091297622374443,0.7762539980826573,0.009742005925975737,590
0.0016,0.0070843132794943245,0.7762539980826573,0.009960734952682123,600
0.0,0.007076501701299869,0.7445046206285875,0.01003950005402215,610
0.0004,0.007063211283119452,0.7445046206285875,0.009694451285760956,620
