x_mean,x_rms,p_rms,order_parameter,local_coherence_mean,residue_mean,mismatch_mean,step,time
0.021807581707248037,0.5169603702103356,0.5105887976785876,0.0225427406599602,0.0007586180994796814,2.4991662190197504e-06,0.0004999998055707434,0,0.0
0.022336023089455374,0.5171413634311686,0.5104971475073474,0.023902798727426094,0.0009547273525747222,0.0003013929350732781,0.005499973278041065,10,0.1
0.022752830881846643,0.5197652577750901,0.5091630101488644,0.025335659072717814,0.0010666419975594774,0.0010948156419810274,0.010499891080126413,20,0.2
0.023055921913664828,0.5247436522588783,0.5066033776099952,0.026847479539814825,0.0010670901592375356,0.002377840685673276,0.015499748411222146,30,0.3
0.02324378136108532,0.5319128646954694,0.502851155596337,0.02844271839547538,0.0013310370123283497,0.004145590681937693,0.02049953913476615,40,0.4
0.02331547031817969,0.5410460726793138,0.497955325423858,0.030127774492990953,0.001400565099864754,0.006393233315733493,0.02549922585656871,50,0.5
0.02327063048948958,0.5518685597830802,0.49198117734350627,0.031914184630352414,0.0015050165935132707,0.009115984690364636,0.03049882825778998,60,0.6
0.0231094859807577,0.5640738356722471,0.4850106044756349,0.033803275290945775,0.001664543433313487,0.012309107770555276,0.035498318755234945,70,0.7000000000000001
0.022832842178865886,0.5773387681548602,0.477142437739014,0.035801963420754486,0.0017982583940771228,0.015967908326512265,0.04049765015724883,80,0.8
0.022442081726578356,0.5913365199139818,0.4684927882121753,0.03791932240725798,0.0020052422541875906,0.020087739542755115,0.04549686486009722,90,0.9
0.021939157612207848,0.6057467624326758,0.45919534231083675,0.04015576843591987,0.0022297303653209424,0.024663997927688173,0.050495870650212,100,1.0
0.021326583408742147,0.6202631730748318,0.44940152487765833,0.04252812589593348,0.0023929428961540922,0.029692120982932193,0.055494677739172514,110,1.1
0.020607420711214894,0.634598548992061,0.43928040396468,0.045038545488751205,0.0026064714563646995,0.03516759182469229,0.060493252113815746,120,1.2
0.019785263835107633,0.6484880142826608,0.42901815831575946,0.047693628707418605,0.002824598138674619,0.04108593565470074,0.06549158622317004,130,1.3
0.01886422185225935,0.66169081046498,0.41881686710526883,0.05050428812266022,0.0031985921260625,0.04744271705288945,0.07048956796630926,140,1.4000000000000001
0.017848898054066423,0.6739911023717376,0.4088923201291894,0.053486199339090226,0.0035329105319996915,0.05423353843009113,0.07548722098317283,150,1.5
