label,step,mean_H,std_H,mean_q,mean_p,q_rms,p_rms
fp32,1540,-0.891991,0.112988,-0.00147113,0.000904619,0.324351,0.336399
fp32,1560,-0.891991,0.112988,-0.00126296,0.00117067,0.344374,0.31671
fp32,1580,-0.89199,0.112988,-0.00100586,0.00139168,0.361931,0.297543
fp32,1600,-0.89199,0.112988,-0.000710151,0.00155466,0.374956,0.28207
fp32,1620,-0.89199,0.112988,-0.000388549,0.00164923,0.382124,0.273246
fp32,1640,-0.89199,0.112989,-5.54122e-05,0.00166951,0.382804,0.272899
fp32,1660,-0.89199,0.112989,0.000274285,0.00161531,0.377022,0.280971
fp32,1680,-0.89199,0.112989,0.000586122,0.00149223,0.365446,0.295564
fp32,1700,-0.891991,0.112989,0.000867285,0.00131065,0.349383,0.313756
fp32,1720,-0.891991,0.112988,0.00110737,0.00108387,0.330787,0.332503
fp32,1740,-0.891991,0.112988,0.00129876,0.000825879,0.312214,0.349177
fp32,1760,-0.891991,0.112988,0.00143649,0.000549367,0.296637,0.361766
fp32,1780,-0.891991,0.112988,0.00151795,0.00026451,0.286951,0.368917
fp32,1800,-0.891991,0.112988,0.00154224,-2.12291e-05,0.285154,0.369929
fp32,1820,-0.891991,0.112988,0.00150977,-0.000302301,0.291559,0.364751
fp32,1840,-0.891991,0.112988,0.00142197,-0.000573597,0.304653,0.353989
fp32,1860,-0.891991,0.112988,0.00128139,-0.000828836,0.321743,0.338903
fp32,1880,-0.891991,0.112988,0.00109207,-0.00105947,0.33984,0.321394
fp32,1900,-0.89199,0.112988,0.00085997,-0.00125459,0.356281,0.303924
fp32,1920,-0.89199,0.112988,0.000593411,-0.00140198,0.369011,0.289295
fp32,1940,-0.89199,0.112988,0.000303124,-0.00149016,0.376642,0.28017
fp32,1960,-0.89199,0.112988,1.85843e-06,-0.00151075,0.378449,0.278349
fp32,1980,-0.89199,0.112989,-0.000296446,-0.00146049,0.374335,0.284104
fp32,2000,-0.89199,0.112989,-0.000577812,-0.00134236,0.364815,0.29609
