mean_H,std_H,mean_q,mean_p,q_rms,p_rms,step
-3.4679722992784217,0.5801666186306436,0.05325227195430186,-0.006578758893051191,0.4543117859660497,0.520071185046794,0
-3.468020843571514,0.5801054139504093,0.03566231735930028,-0.07736787661256042,0.3652150816413788,0.7352190366149304,20
-3.46806592198064,0.5800110673756698,-0.0026960638468527453,-0.10437963091240779,0.271475290118967,0.8738512632436689,40
-3.4680145482502396,0.5800791941538308,-0.039576899935986336,-0.07078237444950544,0.3735240780109716,0.7156170165257228,60
-3.467973160540433,0.5801625314349373,-0.05407853648155485,0.0018080385019924978,0.4511074410876026,0.5285092030415146,80
-3.468012653891521,0.5801264022704464,-0.038087476692144205,0.07450880100494445,0.3838470183712069,0.7006822741633117,100
-3.4680612251456737,0.5800292754754524,-0.00010919533601967846,0.10559232858321145,0.2817760850083543,0.8615279639830361,120
-3.4680244498867974,0.5800511066064267,0.03803961190129505,0.07543436447465872,0.35571543473467004,0.7484392254094295,140
-3.4679766100550555,0.580150499697248,0.05455673551003588,0.003201180102534509,0.44258739090679255,0.5520504555117,160
-3.468006491267873,0.5801406495035295,0.04031192717499411,-0.07112373473132834,0.39762916114968705,0.6728290942102749,180
-3.4680542426380816,0.5800531445035038,0.0029892856093212796,-0.1060036632819853,0.29846470784213686,0.8407662638432,200
-3.4680313136125487,0.5800344337695513,-0.03615697579397987,-0.07968616256274742,0.34291675411972816,0.7704005511007289,220
-3.4679828020017522,0.5801299313359992,-0.05466711659864758,-0.00841196009943898,0.43020547956397226,0.5852403352649757,240
-3.468002288181159,0.580148733003467,-0.04230709972509501,0.06724025624757812,0.40561936211808974,0.6550637298773645,260
-3.468046850955675,0.5800762184682485,-0.005900062746648807,0.10566009579692139,0.3173513687604785,0.8157266075517217,280
-3.4680340484908903,0.5800323193301082,0.03396683739532698,0.08342126208371901,0.3370546270802363,0.7800070600377124,300
-3.467990859552856,0.5801041732021073,0.05439497132347421,0.013742045966438047,0.416087377230128,0.6209990931415836,320
-3.468000213466671,0.58015016807046,0.04404141393194031,-0.06288851434528062,0.4077214569548112,0.6492140764764969,340
-3.4680400952555512,0.5800953276922313,0.008800920644089239,-0.1045723978957347,0.334971396131632,0.7905122920889345,360
-3.468033282127447,0.5800415034001315,-0.031508051702849024,-0.08659286566014274,0.3381892167575608,0.7784424308208273,380
-3.467998782957176,0.5800807193707103,-0.05373631717657543,-0.01907432408559195,0.40271538995127965,0.6526442646287678,400
-3.468000657523787,0.5801435738943567,-0.045482466550488265,0.05811213424194309,0.40461890373126674,0.6549051686886869,420
-3.4680343432982044,0.5801097535319999,-0.011648058825587771,0.10273910149696633,0.34903285462321915,0.7686414884405856,440
-3.4680304324821485,0.5800562835468404,0.02881443303174188,0.08916799576786875,0.3446387104813232,0.7686575374237644,460
-3.468004669413834,0.580066275773054,0.052698165233276306,0.02430193422571857,0.3923314473976732,0.6757147909756982,480
-3.4680036480008813,0.5801290128215355,0.04660083583351806,-0.05297583761212032,0.3977282201068946,0.6692128320938846,500
-3.4680297809241534,0.5801192792174061,0.014393068190694367,-0.10017633386939256,0.35835638434851497,0.7527823813563534,520
-3.4680268381742816,0.5800718420401948,-0.025919194604459985,-0.09107783603160977,0.35383734480458195,0.7543179466415613,540
-3.4680078746396314,0.5800622407580381,-0.05129131826080125,-0.029363212183531634,0.38627773769740725,0.6887312469373612,560
-3.4680081822435316,0.5801105845383395,-0.04737421677529091,0.04756378292448369,0.38903939012070227,0.6872929109896715,580
-3.4680267756911087,0.5801228638184666,-0.01698581078636244,0.0969299665400241,0.3627226003907898,0.7444576270046364,600
-3.46802336179608,0.5800853998331554,0.02286341764765144,0.09222851854792742,0.3632586749652398,0.7390279885598036,620
-3.4680087700934514,0.580066064561353,0.04952282424987255,0.034212208435306056,0.3846508666427575,0.6926769453832737,640
-3.4680125469176892,0.5800950275244992,0.04778865539942299,-0.041953850735611,0.3807207615745623,0.7041196054592742,660
-3.468025755751015,0.5801192138961737,0.019378996153638,-0.09307390562996476,0.36276375044695913,0.7435836511793198,680
-3.468020413652533,0.5800958023551743,-0.019699889011644562,-0.0925462385458475,0.37097322812788464,0.7258708722982573,700
-3.4680080505468256,0.5800744789236535,-0.04739782165134455,-0.03875329774617792,0.38645624087917063,0.6899567357554621,720
-3.468015641264027,0.580086277455953,-0.047833319634874645,0.036181357464320614,0.374541708856018,0.7163292054820408,740
-3.4680265801820838,0.5801093159504442,-0.021532558323979222,0.08870025157505702,0.35984221918324294,0.7481719088167517,760
-3.4680182648667115,0.580102230958522,0.016490125270210872,0.0920096509750835,0.3758564616580766,0.7171143987101333,780
-3.4680064853718306,0.580084602881348,0.04493035364653521,0.04282186080740951,0.3901032254588984,0.6835552252993384,800
-3.468017463020341,0.5800834501170404,0.04749135143068295,-0.030246045339417306,0.3713915538662893,0.7228600854420315,820
-3.4680281114956726,0.5800981128591712,0.023415558715843155,-0.08389460457072817,0.3557738147604542,0.7548531451687696,840
-3.468017280984766,0.5801033938503588,-0.013297548476571792,-0.09065477541017383,0.3776230120751186,0.7138616994941955,860
-3.4680047858851357,0.5800941605125298,-0.04215317303204962,-0.04623299623658908,0.3939427684261064,0.6764827836513944,880
-3.4680182692957136,0.5800844047629582,-0.04673685817853737,0.024183924406164136,0.3711624489732302,0.7243225069311015,900
-3.4680290126184388,0.5800912438633904,-0.02500222220965411,0.07869530350904327,0.35232941684653746,0.7603697274273999,920
-3.4680176970598833,0.5800985529489266,0.010180339252239254,0.08856078236106718,0.37678324244485506,0.7156165783599849,940
-3.4680035165747136,0.5801014364996082,0.039118869088724945,0.048847438770443646,0.39666170840417625,0.6713634475111979,960
-3.4680181069668157,0.5800880677206329,0.045544696245647456,-0.018136932243556954,0.3729940814530665,0.7221407121072123,980
-3.468029055635169,0.5800896686905468,0.0262614256082118,-0.07307271866765644,0.350684755102438,0.7630022049620799,1000
-3.4680190004539586,0.5800900547221385,-0.007186751966869452,-0.08582077784884405,0.3744837816697529,0.7201867858945602,1020
-3.4680031678131025,0.5801047712579518,-0.035892770198049394,-0.050606987531904304,0.3975116524292676,0.6700335733799302,1040
-3.468017081995198,0.5800936803944431,-0.04390692257843621,0.012343035184263926,0.3756756283623945,0.7180837557056062,1060
-3.4680289206972703,0.5800903181302761,-0.027146965975074367,0.06697897411524098,0.3511370480791708,0.7627437845484892,1080
-3.4680198482090008,0.5800836654142296,0.004356123956432248,0.08249452730251652,0.37214369404499376,0.7245310464532858,1100
-3.4680041586918877,0.5801025446891275,0.03254246170524085,0.0515322957758297,0.39641840386729205,0.6730524176623066,1120
-3.4680155468657112,0.580100045605495,0.04184347253744091,-0.007055396518788784,0.37802224221497205,0.714033548406599,1140
