step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.57582e-06,0.00311148,0,0,0
100,7.72712e-05,0.00314115,65536,0,0
200,0.000100873,0.0031883,65536,0,0
300,0.000125122,0.00322826,65536,0,0
400,0.000148782,0.00325585,65536,0,0
500,0.000166913,0.00327181,65536,0,0
600,0.000178547,0.00327899,65536,0,0
700,0.000184831,0.00327999,65536,0,0
800,0.000187265,0.00327692,65536,0,0
900,0.000187075,0.00327123,65536,0,0
1000,0.000185142,0.00326406,65536,0,0
1100,0.000182063,0.00325605,65536,0,0
1200,0.000178241,0.00324777,65536,0,0
1300,0.000173948,0.00323947,65536,0,0
1400,0.000169364,0.0032314,65536,0,0
1500,0.000164619,0.00322368,65536,0,0
1600,0.0001598,0.00321641,65536,0,0
1700,0.000154965,0.00320962,65536,0,0
1800,0.000150161,0.0032033,65536,0,0
1900,0.000145418,0.00319748,65536,0,0
1999,0.000140801,0.00319217,65536,0,0
