step,residue_coherence,orientation_alignment,corridor_count
0,3.13279e-06,0.00110871,0
100,0.000153149,0.00111104,0
200,0.000200098,0.00113354,0
300,0.000248837,0.00116249,0
400,0.000296087,0.00119084,0
500,0.000332176,0.00121983,0
600,0.000355369,0.00124907,0
700,0.000367974,0.00127722,0
800,0.000372957,0.0013033,0
900,0.000372741,0.00132691,0
1000,0.00036906,0.00134798,0
1100,0.000363092,0.00136673,0
1200,0.000355636,0.00138345,0
1300,0.000347223,0.00139841,0
1400,0.000338221,0.00141185,0
1500,0.000328874,0.00142402,0
1600,0.000319365,0.00143504,0
1700,0.000309814,0.00144507,0
1800,0.000300307,0.00145421,0
1900,0.000290906,0.00146254,0
1999,0.000281748,0.00147005,0
