step,residue_coherence,orientation_alignment,corridor_count
0,0.000113516,0.00129529,0
100,0.0111315,0.00136475,0
200,0.0269276,0.00130102,0
300,0.0581746,0.00200636,0
400,0.12812,0.0011753,0
500,0.306565,0.00200209,56
600,0.860235,0.000671438,59276
700,2.62133,0.000361769,65536
800,7.38053,0.000709455,65536
900,20.0812,0.000367402,65536
1000,54.3589,0.000900373,65536
1100,147.047,0.000215717,65536
1200,397.737,0.000654507,65536
1300,1075.81,0.000844905,65536
1400,2909.86,0.00132142,65536
1500,7870.62,0.000922256,65536
1600,21288.8,0.000916732,65536
1700,57582.1,0.000617277,65536
1800,155748,0.000544332,65536
1900,421268,0.00104643,65536
1999,1.12818e+06,0.000894013,65536
