step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
53,2.6500000000000004,0.13840914067222873,213,8.52,64,0,0.0,0,0.0,0,0.0,0.0
54,2.7,0.13789841967346336,212,8.48,64,1,0.015625,0,0.0,0,0.0,0.0
55,2.75,0.13740524782684663,216,8.64,64,4,0.0625,0,0.0,0,0.0,0.0
56,2.8000000000000003,0.13690629629304812,216,8.64,63,1,0.015873015873015872,0,0.0,0,0.0,0.0
57,2.85,0.13637751026613446,216,8.64,63,1,0.015873015873015872,0,0.0,0,0.0,0.0
58,2.9000000000000004,0.13582257878351528,218,8.72,63,2,0.031746031746031744,0,0.0,0,0.0,0.0
59,2.95,0.13526569695633744,218,8.72,62,0,0.0,0,0.0,0,0.0,0.0
60,3.0,0.13470315343435912,219,8.76,65,1,0.015384615384615385,0,0.0,0,0.0,0.0
61,3.0500000000000003,0.13413524920906603,219,8.76,67,0,0.0,0,0.0,0,0.0,0.0
62,3.1,0.13356217791154185,223,8.92,72,4,0.05555555555555555,0,0.0,0,0.0,0.0
63,3.1500000000000004,0.1329859739703606,226,9.04,69,3,0.043478260869565216,0,0.0,0,0.0,0.0
64,3.2,0.1324106521052308,227,9.08,67,2,0.029850746268656716,0,0.0,0,0.0,0.0
65,3.25,0.1318687514561697,226,9.04,68,1,0.014705882352941176,0,0.0,0,0.0,0.0
66,3.3000000000000003,0.13131931014709194,230,9.2,67,5,0.07462686567164178,0,0.0,0,0.0,0.0
67,3.35,0.13077629801990842,231,9.24,66,2,0.030303030303030304,0,0.0,0,0.0,0.0
68,3.4000000000000004,0.1302878098285717,232,9.28,63,1,0.015873015873015872,0,0.0,0,0.0,0.0
69,3.45,0.12980806994523197,230,9.2,65,0,0.0,0,0.0,0,0.0,0.0
70,3.5,0.12933436751146063,232,9.28,65,3,0.046153846153846156,0,0.0,0,0.0,0.0
71,3.5500000000000003,0.1288921667004664,233,9.32,63,2,0.031746031746031744,0,0.0,0,0.0,0.0
72,3.6,0.1284147404193417,234,9.36,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
73,3.6500000000000004,0.12794071815602692,234,9.36,65,2,0.03076923076923077,0,0.0,0,0.0,0.0
74,3.7,0.12752003928920744,236,9.44,65,2,0.03076923076923077,0,0.0,0,0.0,0.0
75,3.75,0.12710385441027705,236,9.44,66,2,0.030303030303030304,0,0.0,0,0.0,0.0
76,3.8000000000000003,0.12672324318957212,235,9.4,66,0,0.0,0,0.0,0,0.0,0.0
77,3.85,0.12637011276170795,236,9.44,68,1,0.014705882352941176,0,0.0,0,0.0,0.0
