step,residue_coherence,orientation_alignment,corridor_count
0,5.79685e-05,0.000281864,0
50,0.0025489,0.000287052,0
100,0.00452178,0.000299566,0
150,0.0062791,0.000316277,0
200,0.00802248,0.000334095,0
250,0.00989718,0.000348685,0
300,0.0120196,0.000353634,0
350,0.014495,0.000341331,0
400,0.0174299,0.000308008,0
450,0.0209424,0.000262907,0
500,0.025168,0.000226759,0
550,0.0302733,0.000196786,0
600,0.0364635,0.000134277,0
650,0.0439947,8.29147e-05,0
700,0.0531973,0.000222828,0
750,0.0644954,0.000333353,0
800,0.0784344,0.000357037,0
850,0.0957538,0.000348196,0
900,0.117445,0.000347494,0
950,0.144885,0.000353529,0
999,0.179201,0.000357633,0
