"anchor_label","focus","seed","drive","steps","regime","mean_output","mean_abs_output","mean_total_activation","mean_forward_channel","mean_reverse_channel","mean_directional_dominance","mean_channel_coexistence","mean_split_eligibility","mean_admissibility","mean_residue","mean_tension","mean_barrier_scaffold","corridor_edge_fraction","coexistence_edge_fraction","barrier_edge_fraction","dual_active_node_fraction","output_interface_count"
"corridor_interior","corridor_interior","20408","0.2","32768","directional_corridor_candidate","0.306656","1.252089","1.264215","0.785435","0.478779","0.993472","0.006063","0","0.971017","0.883574","0","0","0.882812","0","0","0.007812","16"
"split_onset","split_onset","20401","0.23","32768","split_coexistence_candidate","-0.001165","1.268481","1.268481","0.633658","0.634823","1","0","0.025101","0.967529","0.887155","0.058446","0.03929","0.90625","0","0","0","12"
"split_onset","split_onset","20402","0.23","32768","split_coexistence_candidate","0.215824","1.23615","1.245783","0.730803","0.51498","0.992261","0.004816","0.030896","0.970991","0.897717","0.078077","0.055387","0.898438","0","0.015625","0.007812","13"
"split_onset","split_onset","20403","0.23","32768","split_coexistence_candidate","0.295471","1.36157","1.36157","0.828521","0.53305","1","0","0.018353","0.980037","0.928467","0.043174","0.029359","0.9375","0","0","0","8"
"split_onset","split_onset","20404","0.23","32768","split_coexistence_candidate","0.641855","1.254459","1.254459","0.948157","0.306302","1","0","0.027588","0.96939","0.892693","0.064649","0.043763","0.90625","0","0","0","12"
"split_onset","split_onset","20405","0.23","32768","split_coexistence_candidate","0.073867","1.304296","1.304296","0.689081","0.615215","1","0","0.022939","0.975156","0.910584","0.053988","0.036749","0.921875","0","0","0","10"
"split_onset","split_onset","20406","0.23","32768","split_coexistence_candidate","-0.149145","1.253397","1.253397","0.552126","0.701271","1","0","0.027565","0.969643","0.892696","0.064697","0.043868","0.90625","0","0","0","12"
"split_onset","split_onset","20407","0.23","32768","split_coexistence_candidate","-0.521399","1.221455","1.221455","0.350028","0.871427","1","0","0.029252","0.961431","0.86785","0.067906","0.045426","0.890625","0","0","0","14"
"split_onset","split_onset","20408","0.23","32768","split_coexistence_candidate","0.390162","1.206986","1.206986","0.798574","0.408412","1","0","0.031683","0.963222","0.873367","0.073936","0.049773","0.890625","0","0","0","14"
"split_center","split_center","20401","0.24","32768","split_coexistence_candidate","-0.001469","1.251877","1.251877","0.625204","0.626673","1","0","0.028947","0.963446","0.88081","0.070057","0.048429","0.828125","0","0","0","12"
"split_center","split_center","20402","0.24","32768","split_coexistence_candidate","0.229345","1.237583","1.237583","0.733464","0.504119","1","0","0.03169","0.967153","0.885745","0.07734","0.05384","0.8125","0","0","0","12"
"split_center","split_center","20403","0.24","32768","split_coexistence_candidate","0.295225","1.349408","1.349408","0.822316","0.527092","1","0","0.021301","0.978689","0.923838","0.052082","0.036387","0.875","0","0","0","8"
