"variant","anchor_label","seed","drive","regime","mean_directional_dominance","mean_channel_coexistence","mean_split_eligibility","mean_tension","mean_barrier_scaffold","corridor_edge_fraction","coexistence_edge_fraction","barrier_edge_fraction","dual_active_node_fraction"
"full","split_center","20407","0.24","split_coexistence_candidate","1","0","0.033381","0.080674","0.055553","0.796875","0","0","0"
"full","split_center","20408","0.24","split_coexistence_candidate","1","0","0.036143","0.087982","0.061013","0.78125","0","0","0"
"eligibility_off","split_center","20401","0.24","directional_corridor_candidate","1","0","0","0","0","0.890625","0","0","0"
"eligibility_off","split_center","20402","0.24","directional_corridor_candidate","0.992374","0.007198","0","0","0","0.914062","0","0","0.007812"
"eligibility_off","split_center","20403","0.24","directional_corridor_candidate","1","0","0","0","0","0.9375","0","0","0"
"eligibility_off","split_center","20404","0.24","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"eligibility_off","split_center","20405","0.24","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"eligibility_off","split_center","20406","0.24","directional_corridor_candidate","1","0","0","0","0","0.921875","0","0","0"
"eligibility_off","split_center","20407","0.24","directional_corridor_candidate","1","0","0","0","0","0.875","0","0","0"
"eligibility_off","split_center","20408","0.24","directional_corridor_candidate","0.99333","0.00623","0","0","0","0.898438","0","0","0.007812"
"scaffold_off","split_center","20401","0.24","directional_corridor_candidate","1","0","0.087905","0.226231","0","0.90625","0","0.25","0"
"scaffold_off","split_center","20402","0.24","directional_corridor_candidate","1","0","0.096327","0.250794","0","0.90625","0","0.28125","0"
"scaffold_off","split_center","20403","0.24","directional_corridor_candidate","1","0","0.064831","0.169601","0","0.9375","0","0.1875","0"
"scaffold_off","split_center","20404","0.24","directional_corridor_candidate","1","0","0.096548","0.251015","0","0.90625","0","0.28125","0"
"scaffold_off","split_center","20405","0.24","directional_corridor_candidate","1","0","0.081003","0.212612","0","0.921875","0","0.234375","0"
"scaffold_off","split_center","20406","0.24","directional_corridor_candidate","1","0","0.09693","0.252534","0","0.90625","0","0.28125","0"
"scaffold_off","split_center","20407","0.24","directional_corridor_candidate","1","0","0.08756","0.22498","0","0.90625","0","0.25","0"
"scaffold_off","split_center","20408","0.24","directional_corridor_candidate","1","0","0.11049","0.285116","0","0.890625","0","0.320312","0"
"full","barrier_lock","20401","0.25","scaffold_lock_candidate","1","0","0.007013","0.056324","0.446251","0.109375","0","0.765625","0"
"full","barrier_lock","20402","0.25","scaffold_lock_candidate","1","0","0.006271","0.061403","0.486299","0.070312","0","0.84375","0"
"full","barrier_lock","20403","0.25","scaffold_lock_candidate","1","0","0.005316","0.047492","0.355294","0.289062","0","0.625","0"
"full","barrier_lock","20404","0.25","scaffold_lock_candidate","1","0","0.008578","0.07186","0.570365","0.023438","0","0.929688","0"
"full","barrier_lock","20405","0.25","scaffold_lock_candidate","1","0","0.008476","0.072226","0.548317","0.054688","0","0.867188","0"
"full","barrier_lock","20406","0.25","scaffold_lock_candidate","1","0","0.00681","0.054597","0.433283","0.179688","0","0.757812","0"
"full","barrier_lock","20407","0.25","scaffold_lock_candidate","1","0","0.008341","0.06545","0.554655","0.070312","0","0.867188","0"
"full","barrier_lock","20408","0.25","scaffold_lock_candidate","1","0","0.00647","0.046639","0.396007","0.226562","0","0.71875","0"
"eligibility_off","barrier_lock","20401","0.25","directional_corridor_candidate","1","0","0","0.005468","0.090584","0.703125","0","0.179688","0"
"eligibility_off","barrier_lock","20402","0.25","directional_corridor_candidate","1","0","0","0.005418","0.084412","0.71875","0","0.203125","0"
"eligibility_off","barrier_lock","20403","0.25","directional_corridor_candidate","1","0","0","0.003669","0.055039","0.8125","0","0.125","0"
"eligibility_off","barrier_lock","20404","0.25","directional_corridor_candidate","1","0","0","0.005424","0.084191","0.71875","0","0.203125","0"
"eligibility_off","barrier_lock","20405","0.25","directional_corridor_candidate","1","0","0","0.005381","0.083666","0.71875","0","0.1875","0"
"eligibility_off","barrier_lock","20406","0.25","directional_corridor_candidate","1","0","0","0.005447","0.083171","0.71875","0","0.195312","0"
"eligibility_off","barrier_lock","20407","0.25","directional_corridor_candidate","1","0","0","0.006161","0.105939","0.65625","0","0.21875","0"
"eligibility_off","barrier_lock","20408","0.25","directional_corridor_candidate","1","0","0","0.006832","0.113736","0.625","0","0.273438","0"
"scaffold_off","barrier_lock","20401","0.25","directional_corridor_candidate","1","0","0.11094","0.289368","0","0.90625","0","0.3125","0"
"scaffold_off","barrier_lock","20402","0.25","directional_corridor_candidate","1","0","0.100773","0.272317","0","0.921875","0","0.304688","0"
"scaffold_off","barrier_lock","20403","0.25","directional_corridor_candidate","1","0","0.080737","0.218637","0","0.9375","0","0.25","0"
"scaffold_off","barrier_lock","20404","0.25","directional_corridor_candidate","1","0","0.099827","0.267692","0","0.921875","0","0.304688","0"
"scaffold_off","barrier_lock","20405","0.25","directional_corridor_candidate","1","0","0.101354","0.271289","0","0.921875","0","0.3125","0"
"scaffold_off","barrier_lock","20406","0.25","directional_corridor_candidate","1","0","0.101813","0.277117","0","0.921875","0","0.3125","0"
"scaffold_off","barrier_lock","20407","0.25","directional_corridor_candidate","1","0","0.095794","0.265067","0","0.9375","0","0.28125","0"
"scaffold_off","barrier_lock","20408","0.25","directional_corridor_candidate","1","0","0.079093","0.217181","0","0.9375","0","0.25","0"
