step,residue_coherence,orientation_alignment,corridor_count
0,3.12015e-06,0.00193143,0
100,0.0001529,0.00197841,0
200,0.000200212,0.002072,0
300,0.000249023,0.00219203,0
400,0.000296213,0.00233072,0
500,0.0003323,0.00247941,0
600,0.000355455,0.00262995,0
700,0.000367992,0.00277544,0
800,0.000372894,0.00291159,0
900,0.000372599,0.00303634,0
1000,0.000368842,0.00314913,0
1100,0.000362804,0.00325027,0
1200,0.000355287,0.00334055,0
1300,0.000346821,0.00342096,0
1400,0.000337772,0.00349252,0
1500,0.000328391,0.00355622,0
1600,0.000318853,0.00361299,0
1700,0.000309279,0.00366368,0
1800,0.000299757,0.00370906,0
1900,0.000290346,0.00374975,0
1999,0.000281179,0.00378601,0
