model,feedback_strength,stability_mean,residue_mean,stability_std
agent,0.0,0.36649604972220723,0.3678794411714527,0.010566468386582078
agent,0.1,0.34072125019744903,0.36302077322609727,0.03380541228031963
agent,0.5,0.41129266938399445,0.3580799672378825,0.07759926571321281
pde,0.0,0.3359375,,0.0
pde,0.05,0.3359375,,0.0
pde,0.2,0.3359375,,0.0
