"run_name","status","seed","config_path","original_config_path","out_dir","summary_path","elapsed_sec","final_metrics_json"
"ca_seeded_demo_config__seed123","OK","123","D:\projects\acellorator\outputs\_tmp_batch_runner_smoke2\configs_generated\ca_seeded_demo_config__seed123.json","D:\projects\acellorator\outputs\ca_seeded_demo_config.json","D:\projects\acellorator\outputs\_tmp_batch_runner_smoke2\runs\ca_seeded_demo_config__seed123","D:\projects\acellorator\outputs\_tmp_batch_runner_smoke2\runs\ca_seeded_demo_config__seed123\summary.json","1.395","{""active_fraction"":0.01171875,""mean_mismatch"":0.01800751348225694,""max_mismatch"":0.9525815822208562,""mean_residue"":0.06540301801897842,""step"":190}"
"ca_seeded_demo_config__seed124","OK","124","D:\projects\acellorator\outputs\_tmp_batch_runner_smoke2\configs_generated\ca_seeded_demo_config__seed124.json","D:\projects\acellorator\outputs\ca_seeded_demo_config.json","D:\projects\acellorator\outputs\_tmp_batch_runner_smoke2\runs\ca_seeded_demo_config__seed124","D:\projects\acellorator\outputs\_tmp_batch_runner_smoke2\runs\ca_seeded_demo_config__seed124\summary.json","1.375","{""active_fraction"":0.01025390625,""mean_mismatch"":0.01844781427115507,""max_mismatch"":0.9467713451894681,""mean_residue"":0.06500762050257085,""step"":190}"

