N,R,NR_product,mean_agreement,projection_variance,topology_fragmentation_index,continuation_failure_rate,boundary_survival
128,0.05,6.4,0.3250993634004436,0.0020405157917417613,0.7788007830714049,0.9753099120283326,False
128,0.1,12.8,0.33048770404427547,0.0022336134960250194,0.7788007830714049,0.951229424500714,False
128,0.25,32.0,0.34818778080935714,0.0014116834628343671,0.7788007830714049,0.8824969025845955,False
128,0.4,51.2,0.37940741319909377,0.002322685499766926,0.7788007830714049,0.8187307530779818,False
128,0.5,64.0,0.3821503716650873,0.0019831646028866065,0.7788007830714049,0.7788007830714049,False
256,0.05,12.8,0.3366413470523931,0.0007693448070456007,0.6065306597126334,0.951229424500714,False
256,0.1,25.6,0.34938709952499475,0.0007365173348228578,0.6065306597126334,0.9048374180359595,False
256,0.25,64.0,0.3854088157361864,0.0010143195291159772,0.6065306597126334,0.7788007830714049,False
256,0.4,102.4,0.4182315032912876,0.001139899550807055,0.6065306597126334,0.6703200460356393,False
256,0.5,128.0,0.439747049712056,0.0007590735253297738,0.6065306597126334,0.6065306597126334,False
512,0.05,25.6,0.3511708850023259,0.0005730642534843474,0.36787944117144233,0.9048374180359595,False
512,0.1,51.2,0.3639939985597423,0.00037401074017828957,0.36787944117144233,0.8187307530779818,False
512,0.25,128.0,0.4429961858267943,0.00035460545163697486,0.36787944117144233,0.6065306597126334,False
512,0.4,204.8,0.4957115996050969,0.0003285056556343,0.36787944117144233,0.44932896411722156,False
512,0.5,256.0,0.5365327981426201,0.0003138490246515801,0.36787944117144233,0.36787944117144233,True
768,0.05,38.400000000000006,0.35775688623138774,0.00033484110585308633,0.22313016014842982,0.8607079764250578,False
768,0.1,76.80000000000001,0.3972707298294807,0.0002809803574319376,0.22313016014842982,0.7408182206817179,False
768,0.25,192.0,0.49279214276856487,0.00024317562631302782,0.22313016014842982,0.4723665527410147,False
768,0.4,307.20000000000005,0.5727980131480174,0.0003037287627824093,0.22313016014842982,0.301194211912202,True
768,0.5,384.0,0.613894669523724,0.000272128516386391,0.22313016014842982,0.22313016014842982,True
1024,0.05,51.2,0.3684097716854148,0.00026528970421543633,0.1353352832366127,0.8187307530779818,False
1024,0.1,102.4,0.41479443532711185,0.00016770345812967775,0.1353352832366127,0.6703200460356393,False
1024,0.25,256.0,0.5377443311103268,0.0003395533022933056,0.1353352832366127,0.36787944117144233,True
1024,0.4,409.6,0.6326287142249032,0.0002576510166277061,0.1353352832366127,0.20189651799465538,True
1024,0.5,512.0,0.6795299764102917,0.00019712576279346273,0.1353352832366127,0.0,True
1536,0.05,76.80000000000001,0.3947247791918167,0.00022527700392021367,0.049787068367863944,0.7408182206817179,False
1536,0.1,153.60000000000002,0.4601391378700463,0.00010570230350793927,0.049787068367863944,0.5488116360940264,False
1536,0.25,384.0,0.6192961299551876,0.00010727740622875243,0.049787068367863944,0.22313016014842982,True
1536,0.4,614.4000000000001,0.7305812143885745,0.00012539393194084382,0.049787068367863944,0.0,True
1536,0.5,768.0,0.7856669176817086,0.00021227886449613434,0.049787068367863944,0.0,True
2048,0.05,102.4,0.41397547280861324,0.00012729011796552137,0.01831563888873418,0.6703200460356393,False
2048,0.1,204.8,0.4965859685412112,9.578537643240878e-05,0.01831563888873418,0.44932896411722156,False
2048,0.25,512.0,0.6862241030215661,0.00014572117182701884,0.01831563888873418,0.0,True
2048,0.4,819.2,0.8038109008806498,9.757864556716686e-05,0.01831563888873418,0.0,True
2048,0.5,1024.0,0.8534952405531004,0.00012664823753351986,0.01831563888873418,0.0,True
