order_parameter,local_coherence_mean,step,time
0.09374860201568862,0.3724415853281975,0,0.0
0.09912902391110888,0.37069232892096665,10,0.5
0.1049162008518754,0.3687183455450639,20,1.0
0.11100530976270608,0.3665561027640668,30,1.5
0.11729070954053424,0.3642753839300051,40,2.0
0.12366949403742057,0.3619696359200195,50,2.5
0.1300438034338953,0.35973209905023085,60,3.0
0.13632226522528748,0.3576606878700742,70,3.5
0.1424208706375735,0.3558327481198986,80,4.0
0.1482635045844503,0.35426230168772976,90,4.5
0.15378226969500203,0.35299444015224823,100,5.0
0.15891768723164196,0.3520739976226368,110,5.5
0.16361881902513242,0.3514647657833646,120,6.0
0.167843330562089,0.3511396395178429,130,6.5
0.17155750156622285,0.3510495926614409,140,7.0
0.1747361832296507,0.35116417143397927,150,7.5
0.1773626981426676,0.3515100180088341,160,8.0
0.1794286782711735,0.35211114019449063,170,8.5
0.18093383698861923,0.35298760552602126,180,9.0
0.181885672540165,0.3540784227381269,190,9.5
0.18229910201464705,0.35524737066695733,200,10.0
0.18219602669589446,0.3563905649098136,210,10.5
0.18160483142274111,0.35746332379575496,220,11.0
0.18055982222361389,0.3584680517697047,230,11.5
0.17910060795270033,0.3594316335535076,240,12.0
0.17727143290106315,0.3603757375982335,250,12.5
0.17512046835528353,0.36130468107204594,260,13.0
0.17269907179938077,0.3622194317309929,270,13.5
0.17006102287747826,0.36312756557224257,280,14.0
0.16726174533631352,0.3640703251873101,290,14.5
0.164357523942913,0.36516681607393164,300,15.0
0.16140472484131715,0.36641611861245016,310,15.5
0.1584590270260377,0.367957869392125,320,16.0
0.15557467166889666,0.36953412423679116,330,16.5
0.15280373509435502,0.37155072305258663,340,17.0
0.150195430461024,0.37397699886562763,350,17.5
0.1477954429055111,0.3769693260491653,360,18.0
0.14564530324990976,0.38014697009309795,370,18.5
0.143781806484211,0.38347731616549713,380,19.0
0.1422364830534559,0.3869131695377493,390,19.5
0.14103513321268565,0.3904014367847861,400,20.0
0.14019743682255795,0.39390798868315624,410,20.5
0.13973665224444665,0.39741934501957565,420,21.0
0.13965941776770355,0.4009414063168766,430,21.5
0.13996566681345848,0.40451038982678506,440,22.0
0.14064866399202028,0.40818556192130595,450,22.5
0.14169516343421795,0.4119823940637475,460,23.0
0.1430856845668323,0.41582158561535604,470,23.5
0.14479489471160792,0.4195994909304215,480,24.0
0.14679208346276784,0.4232555904473164,490,24.5
