tool,s,kappa,mode,seed,obs
box,0.0,0.0,cold,1000,0
box,0.0,0.6666666666666666,cold,1000,0
box,0.0,1.3333333333333333,cold,1000,0
box,0.0,2.0,cold,1000,0
box,0.06666666666666667,0.0,cold,1000,0
box,0.06666666666666667,0.6666666666666666,cold,1000,0
box,0.06666666666666667,1.3333333333333333,cold,1000,0
box,0.06666666666666667,2.0,cold,1000,0
box,0.13333333333333333,0.0,cold,1000,0
box,0.13333333333333333,0.6666666666666666,cold,1000,0
box,0.13333333333333333,1.3333333333333333,cold,1000,0
box,0.13333333333333333,2.0,cold,1000,0
box,0.2,0.0,cold,1000,0
box,0.2,0.6666666666666666,cold,1000,0
box,0.2,1.3333333333333333,cold,1000,0
box,0.2,2.0,cold,1000,0
box,0.0,0.0,warm,1000,0
box,0.0,0.6666666666666666,warm,1000,0
box,0.0,1.3333333333333333,warm,1000,0
box,0.0,2.0,warm,1000,0
box,0.06666666666666667,0.0,warm,1000,0
box,0.06666666666666667,0.6666666666666666,warm,1000,0
box,0.06666666666666667,1.3333333333333333,warm,1000,0
box,0.06666666666666667,2.0,warm,1000,0
box,0.13333333333333333,0.0,warm,1000,0
box,0.13333333333333333,0.6666666666666666,warm,1000,0
box,0.13333333333333333,1.3333333333333333,warm,1000,0
box,0.13333333333333333,2.0,warm,1000,0
box,0.2,0.0,warm,1000,0
box,0.2,0.6666666666666666,warm,1000,0
box,0.2,1.3333333333333333,warm,1000,0
box,0.2,2.0,warm,1000,0
