tool,s,kappa,mode,seed,obs
agent,0.0,0.0,cold,1000,0.03179554799470486
agent,0.0,0.5,cold,1000,0.03948732594007404
agent,0.0,1.0,cold,1000,0.04014282639368775
agent,0.0,1.5,cold,1000,0.03986834063873252
agent,0.03333333333333333,0.0,cold,1000,0.03179554799470486
agent,0.03333333333333333,0.5,cold,1000,0.03948732594007404
agent,0.03333333333333333,1.0,cold,1000,0.04014282639368775
agent,0.03333333333333333,1.5,cold,1000,0.03986834063873252
agent,0.06666666666666667,0.0,cold,1000,0.03179554799470486
agent,0.06666666666666667,0.5,cold,1000,0.03948732594007404
agent,0.06666666666666667,1.0,cold,1000,0.04014282639368775
agent,0.06666666666666667,1.5,cold,1000,0.03986834063873252
agent,0.1,0.0,cold,1000,0.03179554799470486
agent,0.1,0.5,cold,1000,0.03948732594007404
agent,0.1,1.0,cold,1000,0.04014282639368775
agent,0.1,1.5,cold,1000,0.03986834063873252
agent,0.0,0.0,warm,1000,0.9999999891751108
agent,0.0,0.5,warm,1000,0.999999987956133
agent,0.0,1.0,warm,1000,0.9999999878955874
agent,0.0,1.5,warm,1000,0.9999999880253365
agent,0.03333333333333333,0.0,warm,1000,0.9999999891751108
agent,0.03333333333333333,0.5,warm,1000,
agent,0.03333333333333333,1.0,warm,1000,0.9999999878955874
agent,0.03333333333333333,1.5,warm,1000,0.9999999880253365
agent,0.06666666666666667,0.0,warm,1000,0.9999999891751108
agent,0.06666666666666667,0.5,warm,1000,0.999999987956133
agent,0.06666666666666667,1.0,warm,1000,0.9999999878955874
agent,0.06666666666666667,1.5,warm,1000,0.9999999880253365
agent,0.1,0.0,warm,1000,0.9999999891751108
agent,0.1,0.5,warm,1000,0.9959642173415665
agent,0.1,1.0,warm,1000,0.9999999878955874
agent,0.1,1.5,warm,1000,0.992883620644894
