fluid_volume,mean_velocity,step
3767.0,0.001008760286700292,0
3767.0,0.04826034136088668,50
3771.0,0.07179159211579232,100
3777.0,0.08245749908764205,150
3781.0,0.09325661929892551,200
3783.0,0.09732660879243911,250
3784.0,0.09828750114944025,300
3784.0,0.09811753242924427,350
3784.0,0.09771711913046353,400
3784.0,0.09763180605866256,450
3784.0,0.0977418290692365,500
3784.0,0.09793657409187913,550
3784.0,0.09812207638595018,600
3784.0,0.09826489903612022,650
3784.0,0.09835712283445927,700
3784.0,0.09841877908354194,750
3784.0,0.09848304608358993,800
3784.0,0.09857450177899195,850
3784.0,0.09867953760103684,900
3784.0,0.09875805497189728,950
3784.0,0.09878958119441854,1000
3784.0,0.09878393185636636,1050
3784.0,0.09876245796648625,1100
3784.0,0.09874189149562936,1150
3784.0,0.0987300721069343,1200
3784.0,0.09872750004674286,1250
3784.0,0.09873117752911453,1300
3784.0,0.09873734870857495,1350
3784.0,0.09874329772180927,1400
3784.0,0.09874781173896417,1450
3784.0,0.0987509424846619,1500
3784.0,0.09875334125200487,1550
3784.0,0.09875553163448599,1600
3784.0,0.0987575657608034,1650
3784.0,0.09875917398163098,1700
3784.0,0.09876010548307072,1750
3784.0,0.09876032687539185,1800
3784.0,0.09876002197913544,1850
3784.0,0.09875947474767646,1900
3784.0,0.09875894511899112,1950
