particle_id,gap,time_s,phase_rad,energy_ev
127,rf_gap_01,2.4280000000000508e-09,4.621911111961367,1001055.3874711012
315,rf_gap_01,2.4780000000000558e-09,4.68474296503317,988581.7927023345
397,rf_gap_01,2.500000000000058e-09,4.7123889803847625,1011969.0139850085
241,rf_gap_01,2.52200000000006e-09,4.740034995736355,981806.6183262826
216,rf_gap_01,2.532000000000061e-09,4.752601366350715,995887.3306735586
263,rf_gap_01,2.5360000000000616e-09,4.75762791459646,1008544.3796343826
207,rf_gap_01,2.5380000000000618e-09,4.760141188719332,1000696.1598498964
215,rf_gap_01,2.5580000000000638e-09,4.785273929948053,1015356.5223200258
281,rf_gap_01,2.562000000000064e-09,4.790300478193797,1011707.1697931453
425,rf_gap_01,2.5740000000000654e-09,4.805380122931029,1006536.5156484094
411,rf_gap_01,2.5760000000000656e-09,4.807893397053901,1008837.3342647422
195,rf_gap_01,2.5780000000000658e-09,4.810406671176773,1009385.3178999212
126,rf_gap_01,2.5840000000000664e-09,4.81794649354539,1004246.0262669285
105,rf_gap_01,2.5940000000000673e-09,4.830512864159751,1014412.0744654209
237,rf_gap_01,2.600000000000068e-09,4.838052686528366,995968.094829244
484,rf_gap_01,2.6040000000000683e-09,4.843079234774111,1000628.7173739234
279,rf_gap_01,2.6080000000000687e-09,4.8481057830198555,1014122.601258765
120,rf_gap_01,2.6140000000000693e-09,4.855645605388471,1009284.2220382936
146,rf_gap_01,2.6140000000000693e-09,4.855645605388471,991902.6276418391
476,rf_gap_01,2.6160000000000695e-09,4.858158879511343,998052.0234655058
24,rf_gap_01,2.62200000000007e-09,4.86569870187996,999769.6367391634
485,rf_gap_01,2.632000000000071e-09,4.87826507249432,1006615.8131090286
391,rf_gap_01,2.6340000000000713e-09,4.880778346617192,1008137.5388358613
492,rf_gap_01,2.6340000000000713e-09,4.880778346617192,1005138.3934497184
30,rf_gap_01,2.6360000000000715e-09,4.883291620740064,982569.6889843558
194,rf_gap_01,2.640000000000072e-09,4.888318168985808,1003967.8698663712
234,rf_gap_01,2.642000000000072e-09,4.890831443108681,1000817.4004624247
198,rf_gap_01,2.6440000000000723e-09,4.893344717231552,996660.1214593861
229,rf_gap_01,2.6460000000000725e-09,4.895857991354425,1014442.4775738739
388,rf_gap_01,2.650000000000073e-09,4.900884539600169,1004670.0206777707
34,rf_gap_01,2.6560000000000735e-09,4.908424361968785,996993.9906019373
326,rf_gap_01,2.6560000000000735e-09,4.908424361968785,980239.680499065
143,rf_gap_01,2.662000000000074e-09,4.915964184337401,1015238.8176476974
151,rf_gap_01,2.662000000000074e-09,4.915964184337401,994898.7353910125
261,rf_gap_01,2.6680000000000747e-09,4.923504006706017,1008621.1059955119
91,rf_gap_01,2.6740000000000753e-09,4.931043829074634,1005035.9071775352
144,rf_gap_01,2.6760000000000755e-09,4.933557103197506,1001832.5873485891
410,rf_gap_01,2.6760000000000755e-09,4.933557103197506,984795.0807517172
423,rf_gap_01,2.680000000000076e-09,4.93858365144325,1005771.9111970182
458,rf_gap_01,2.680000000000076e-09,4.93858365144325,998429.3008587445
481,rf_gap_01,2.6840000000000763e-09,4.943610199688994,1005520.1443115553
19,rf_gap_01,2.6880000000000767e-09,4.948636747934739,1010119.7773947911
399,rf_gap_01,2.6880000000000767e-09,4.948636747934739,1008638.0523473118
404,rf_gap_01,2.6880000000000767e-09,4.948636747934739,997249.0608387723
44,rf_gap_01,2.692000000000077e-09,4.9536632961804825,995721.8815389376
73,rf_gap_01,2.692000000000077e-09,4.9536632961804825,980989.6167995599
33,rf_gap_01,2.6940000000000773e-09,4.956176570303354,989494.5393967794
147,rf_gap_01,2.6940000000000773e-09,4.956176570303354,996501.6640461875
247,rf_gap_01,2.6940000000000773e-09,4.956176570303354,982119.756589503
47,rf_gap_01,2.6960000000000775e-09,4.958689844426226,1009913.0164356756
222,rf_gap_01,2.6960000000000775e-09,4.958689844426226,997211.2247363885
12,rf_gap_01,2.6980000000000777e-09,4.961203118549099,1012993.1120987756
389,rf_gap_01,2.6980000000000777e-09,4.961203118549099,996779.9093825957
74,rf_gap_01,2.7060000000000785e-09,4.971256215040587,994536.2924738494
20,rf_gap_01,2.7080000000000787e-09,4.973769489163459,1007039.6621856043
259,rf_gap_01,2.7080000000000787e-09,4.973769489163459,1005019.5505090412
498,rf_gap_01,2.7080000000000787e-09,4.973769489163459,1004497.3169696839
357,rf_gap_01,2.710000000000079e-09,4.976282763286331,1007355.3862301201
382,rf_gap_01,2.710000000000079e-09,4.976282763286331,983015.8272547843
351,rf_gap_01,2.712000000000079e-09,4.978796037409204,989131.4342843893
296,rf_gap_01,2.72000000000008e-09,4.9888491339006915,991338.2279732218
224,rf_gap_01,2.72200000000008e-09,4.991362408023564,1012691.8088705633
11,rf_gap_01,2.7240000000000803e-09,4.993875682146436,1004159.7361144469
37,rf_gap_01,2.7240000000000803e-09,4.993875682146436,1002884.5928164326
100,rf_gap_01,2.7240000000000803e-09,4.993875682146436,996781.2162084682
375,rf_gap_01,2.7240000000000803e-09,4.993875682146436,1007814.1309446137
184,rf_gap_01,2.7260000000000805e-09,4.996388956269308,1005964.119144833
142,rf_gap_01,2.7280000000000807e-09,4.99890223039218,1004213.4569464673
248,rf_gap_01,2.7280000000000807e-09,4.99890223039218,999516.9013218612
268,rf_gap_01,2.7280000000000807e-09,4.99890223039218,998742.0729608147
22,rf_gap_01,2.730000000000081e-09,5.001415504515052,997421.127419516
286,rf_gap_01,2.730000000000081e-09,5.001415504515052,1005405.366706501
480,rf_gap_01,2.730000000000081e-09,5.001415504515052,1002231.6735318315
172,rf_gap_01,2.732000000000081e-09,5.003928778637924,999849.708431198
293,rf_gap_01,2.732000000000081e-09,5.003928778637924,991591.4513862191
219,rf_gap_01,2.7340000000000813e-09,5.0064420527607965,1008323.9527845064
422,rf_gap_01,2.7340000000000813e-09,5.0064420527607965,993717.0297451663
436,rf_gap_01,2.7340000000000813e-09,5.0064420527607965,997156.2874197963
6,rf_gap_01,2.7360000000000815e-09,5.008955326883669,985593.3471843825
16,rf_gap_01,2.7360000000000815e-09,5.008955326883669,1009776.462688889
327,rf_gap_01,2.7360000000000815e-09,5.008955326883669,1002020.3735571527
364,rf_gap_01,2.7360000000000815e-09,5.008955326883669,996851.24624307
208,rf_gap_01,2.7380000000000817e-09,5.01146860100654,995624.8658014075
267,rf_gap_01,2.7380000000000817e-09,5.01146860100654,1008113.959929457
421,rf_gap_01,2.7380000000000817e-09,5.01146860100654,1003410.1149353547
365,rf_gap_01,2.740000000000082e-09,5.013981875129412,987704.0875511295
447,rf_gap_01,2.740000000000082e-09,5.013981875129412,1001810.8030235383
196,rf_gap_01,2.7440000000000823e-09,5.019008423375157,1011925.880272057
49,rf_gap_01,2.7460000000000825e-09,5.021521697498029,1001947.4567776874
177,rf_gap_01,2.7460000000000825e-09,5.021521697498029,995726.5782380175
362,rf_gap_01,2.7480000000000827e-09,5.024034971620901,995898.3939438764
430,rf_gap_01,2.7480000000000827e-09,5.024034971620901,990582.5792025669
18,rf_gap_01,2.750000000000083e-09,5.026548245743773,994850.6448751279
400,rf_gap_01,2.752000000000083e-09,5.029061519866644,996955.10175135
432,rf_gap_01,2.752000000000083e-09,5.029061519866644,1001573.7449222229
86,rf_gap_01,2.7540000000000833e-09,5.031574793989517,995665.8411169105
210,rf_gap_01,2.7540000000000833e-09,5.031574793989517,995071.7527688013
206,rf_gap_01,2.7580000000000837e-09,5.036601342235262,987073.1308147477
381,rf_gap_01,2.760000000000084e-09,5.039114616358134,1004474.3416448302
197,rf_gap_01,2.762000000000084e-09,5.0416278904810055,1001322.4301432739
211,rf_gap_01,2.762000000000084e-09,5.0416278904810055,979232.4205780844
449,rf_gap_01,2.762000000000084e-09,5.0416278904810055,1009541.446435602
490,rf_gap_01,2.762000000000084e-09,5.0416278904810055,1014626.8907825451
191,rf_gap_01,2.7660000000000845e-09,5.046654438726749,1021945.4877126917
233,rf_gap_01,2.7660000000000845e-09,5.046654438726749,982008.8352592998
331,rf_gap_01,2.7660000000000845e-09,5.046654438726749,1007259.188306285
372,rf_gap_01,2.7660000000000845e-09,5.046654438726749,1002296.760598827
406,rf_gap_01,2.7680000000000847e-09,5.049167712849622,1015590.9413571208
53,rf_gap_01,2.770000000000085e-09,5.051680986972494,997962.6434950299
469,rf_gap_01,2.770000000000085e-09,5.051680986972494,988319.9880745308
140,rf_gap_01,2.772000000000085e-09,5.0541942610953665,1002796.8607773879
148,rf_gap_01,2.772000000000085e-09,5.0541942610953665,1004513.5577129396
338,rf_gap_01,2.772000000000085e-09,5.0541942610953665,1005865.0192568166
97,rf_gap_01,2.7780000000000857e-09,5.061734083463982,989240.9210338269
337,rf_gap_01,2.7780000000000857e-09,5.061734083463982,990576.4877003275
453,rf_gap_01,2.7780000000000857e-09,5.061734083463982,1020088.7537774399
478,rf_gap_01,2.7780000000000857e-09,5.061734083463982,1002661.9568381181
9,rf_gap_01,2.780000000000086e-09,5.064247357586854,1018790.7068183485
14,rf_gap_01,2.780000000000086e-09,5.064247357586854,1007089.2768622877
28,rf_gap_01,2.780000000000086e-09,5.064247357586854,998515.9872297532
79,rf_gap_01,2.780000000000086e-09,5.064247357586854,999191.2219523686
235,rf_gap_01,2.780000000000086e-09,5.064247357586854,992387.7765744828
135,rf_gap_01,2.782000000000086e-09,5.066760631709727,999065.6008865647
317,rf_gap_01,2.782000000000086e-09,5.066760631709727,994993.3867553949
155,rf_gap_01,2.7840000000000863e-09,5.069273905832598,997512.4899012017
264,rf_gap_01,2.7840000000000863e-09,5.069273905832598,1001669.7267226189
57,rf_gap_01,2.7860000000000865e-09,5.071787179955471,991071.9326878723
64,rf_gap_01,2.7860000000000865e-09,5.071787179955471,999174.3319485667
124,rf_gap_01,2.7880000000000867e-09,5.074300454078342,999757.226567443
320,rf_gap_01,2.7880000000000867e-09,5.074300454078342,1012455.1093202182
1,rf_gap_01,2.790000000000087e-09,5.0768137282012145,994565.0504632297
462,rf_gap_01,2.790000000000087e-09,5.0768137282012145,1002119.5995881486
345,rf_gap_01,2.792000000000087e-09,5.079327002324087,993105.4862594875
188,rf_gap_01,2.7940000000000873e-09,5.081840276446959,1001128.2996869169
201,rf_gap_01,2.7940000000000873e-09,5.081840276446959,1018014.8631553999
217,rf_gap_01,2.7940000000000873e-09,5.081840276446959,991585.4673681858
253,rf_gap_01,2.7940000000000873e-09,5.081840276446959,1003060.0779779372
395,rf_gap_01,2.7940000000000873e-09,5.081840276446959,1006261.0164260422
101,rf_gap_01,2.7960000000000875e-09,5.084353550569831,998527.0161290504
275,rf_gap_01,2.7960000000000875e-09,5.084353550569831,984769.2646322524
36,rf_gap_01,2.7980000000000877e-09,5.086866824692703,997476.6865537149
187,rf_gap_01,2.7980000000000877e-09,5.086866824692703,990402.6485939595
359,rf_gap_01,2.7980000000000877e-09,5.086866824692703,987246.6677629357
439,rf_gap_01,2.7980000000000877e-09,5.086866824692703,999925.0067112988
205,rf_gap_01,2.800000000000088e-09,5.089380098815575,987959.2012300325
292,rf_gap_01,2.800000000000088e-09,5.089380098815575,999499.6910475763
459,rf_gap_01,2.800000000000088e-09,5.089380098815575,1009747.9922177593
134,rf_gap_01,2.8040000000000883e-09,5.094406647061319,1004933.8488185864
405,rf_gap_01,2.8040000000000883e-09,5.094406647061319,996498.7671498344
463,rf_gap_01,2.8040000000000883e-09,5.094406647061319,1005866.335227905
486,rf_gap_01,2.8040000000000883e-09,5.094406647061319,996310.9830948637
62,rf_gap_01,2.8060000000000885e-09,5.096919921184192,1000999.1830708255
132,rf_gap_01,2.8080000000000887e-09,5.099433195307063,994812.6841545916
437,rf_gap_01,2.8080000000000887e-09,5.099433195307063,986180.520274542
40,rf_gap_01,2.810000000000089e-09,5.101946469429936,1001453.0224690192
92,rf_gap_01,2.810000000000089e-09,5.101946469429936,1013288.8994335553
154,rf_gap_01,2.810000000000089e-09,5.101946469429936,994121.1663683456
305,rf_gap_01,2.810000000000089e-09,5.101946469429936,989925.1598310303
318,rf_gap_01,2.810000000000089e-09,5.101946469429936,991834.7157047756
360,rf_gap_01,2.810000000000089e-09,5.101946469429936,988314.8271944849
186,rf_gap_01,2.812000000000089e-09,5.104459743552807,1010343.2441737745
238,rf_gap_01,2.812000000000089e-09,5.104459743552807,992286.8391388896
424,rf_gap_01,2.812000000000089e-09,5.104459743552807,1016616.5487542517
448,rf_gap_01,2.812000000000089e-09,5.104459743552807,1001091.5164833652
