step,residue_coherence,orientation_alignment,corridor_count
0,3.13821e-06,0.00162087,0
100,0.000153208,0.00168144,0
200,0.000200177,0.00177683,0
300,0.000248659,0.00185655,0
400,0.000295824,0.00191506,0
500,0.000331887,0.00195791,0
600,0.00035501,0.0019907,0
700,0.000367507,0.00201665,0
800,0.000372385,0.00203727,0
900,0.000372081,0.00205334,0
1000,0.000368328,0.0020653,0
1100,0.000362307,0.00207354,0
1200,0.000354816,0.00207841,0
1300,0.000346384,0.00208028,0
1400,0.000337371,0.00207956,0
1500,0.000328027,0.00207665,0
1600,0.000318522,0.00207193,0
1700,0.000308983,0.00206574,0
1800,0.000299493,0.00205843,0
1900,0.000290111,0.00205027,0
1999,0.000280976,0.00204158,0
