step,time,active_area,total_signal,max_signal,delta_recouple_events,outside_activation_events,pending_outside_activations,outside_activation_no_recouple_total,outside_activation_events_total,outside_activation_no_recouple_fraction,signal_outside_domain_fraction
0,0.0,28.970999999999997,5.800000000000001,0.2,0,0,0,0,0,0.0,0.0
1,0.1,28.936517,11.571000000000002,0.399,0,20,20,0,20,0.0,0.012017975974418806
2,0.2,28.90844767564701,17.313145000000002,0.597005,0,24,44,0,44,0.0,0.02317319279177758
3,0.30000000000000004,28.896749831184636,23.026579275000003,0.794019975,0,0,44,0,44,0.0,0.033570776416827645
4,0.4,28.90923793925378,28.711446378625006,0.9900279223187167,0,0,44,0,44,0.0,0.0433103964043266
5,0.5,28.951614543012408,34.367889146731876,1.18498526321427,8,0,36,0,44,0.0,0.022364556069799903
6,0.6000000000000001,29.027639211017494,39.99604970099821,1.378825134846549,0,0,36,0,44,0.0,0.02612785334953214
7,0.7000000000000001,29.139370535634534,45.596069452493225,1.5714634698433116,0,0,36,0,44,0.0,0.029751971807965006
8,0.8,29.28744353932973,51.16808910523076,1.7628053073123682,0,0,36,0,44,0.0,0.03326832645133039
9,0.9,29.47136206045289,56.712248659704606,1.9527502199679414,0,0,36,0,44,0.0,0.03670375188474788
10,1.0,29.689794562570484,62.22868741640608,2.141196517448698,0,8,44,0,52,0.0,0.040081239163985795
11,1.1,29.94086491682866,67.71754397932405,2.328044268962862,0,8,52,0,60,0.0,0.04341979290416549
12,1.2000000000000002,30.222429557967626,73.17895625942744,2.513197347517905,8,0,44,0,60,0.0,0.015377950236704978
13,1.3,30.53233104593758,78.61306147813029,2.6965647359330065,0,0,44,0,60,0.0,0.016587800968192835
14,1.4000000000000001,30.86861695455641,84.01999617073965,2.8780613131260533,0,8,52,0,68,0.0,0.01783433271537717
15,1.5,31.22971307925551,89.39989618988594,3.0576082935609996,4,4,52,0,72,0.0,0.0031413881861284917
16,1.6,31.61454158626062,94.7528967089365,3.2351334429932654,0,0,52,0,72,0.0,0.003752781423889299
17,1.7000000000000002,32.02257779838325,100.07913222539185,3.4105711497465827,0,0,52,0,72,0.0,0.004441344897615709
18,1.8,32.45384334515534,105.37873656426487,3.5838623968353347,0,0,52,0,72,0.0,0.005213752996952678
19,1.9000000000000001,32.908837763781385,110.65184288144354,3.7549546570702366,0,0,52,0,72,0.0,0.006077175348270541
20,2.0,33.38841478510407,115.89858366703632,3.9238017197703168,0,0,52,0,72,0.0,0.007039227543306119
21,2.1,33.8936132260186,121.11909074870115,4.090363451903412,0,0,52,0,72,0.0,0.008107890272071816
22,2.2,34.4254557267527,126.31349529495763,4.2546054961977084,0,0,52,0,72,0.0,0.009291390746023363
23,2.3000000000000003,34.984731817079535,131.48192781848283,4.416498911949036,0,0,52,0,72,0.0,0.010598041330472973
24,2.4000000000000004,35.57178518024741,136.62451817939044,4.576019769168498,0,0,52,0,72,0.0,0.012036032947037817
25,2.5,36.186328248965005,141.74139558849348,4.733148712044102,0,0,52,0,72,0.0,0.013613185346142778
26,2.6,36.82730937636195,146.832688610551,4.887870512454379,0,0,52,0,72,0.0,0.01533666271487788
27,2.7,37.49285692972563,151.89852516749826,5.040173637752145,0,0,52,0,72,0.0,0.01721267059507226
28,2.8000000000000003,38.18031857415773,156.93903254166077,5.190049858659615,0,0,52,0,72,0.0,0.019246157275272787
29,2.9000000000000004,38.88640130028415,161.95433737895246,5.337493922382822,0,0,52,0,72,0.0,0.02144054751995416
30,3.0,39.607399113298996,166.94456569205772,5.482503312538977,0,8,60,0,80,0.0,0.02379759256278255
31,3.1,40.33947464859018,171.90984286359742,5.62507811093668,0,4,64,0,84,0.0,0.02631706891125718
32,3.2,41.07894507886917,176.85029364927942,5.7652209667368,0,0,64,0,84,0.0,0.028996924879340153
33,3.3000000000000003,41.822518807393934,181.76604218103304,5.902937166675789,8,8,64,0,92,0.0,0.012698884721921162
34,3.4000000000000004,42.567441657651756,186.65721197012786,6.038234787162334,0,0,64,0,92,0.0,0.014148738970413353
35,3.5,43.31153731442052,191.52392591027723,6.171124897120114,0,0,64,0,92,0.0,0.015722534258257415
36,3.6,44.05315793583465,196.36630628072584,6.301621771748412,0,0,64,0,92,0.0,0.017422345187031788
37,3.7,44.79108552156647,201.1844747493222,6.429743074006512,4,0,60,0,92,0.0,0.011398678292248613
38,3.8000000000000003,45.52443368764548,205.9785523755756,6.555509963831228,0,0,60,0,92,0.0,0.01261891505914315
39,3.9000000000000004,46.252590532591626,210.7486596136977,6.678947104731796,0,0,60,0,92,0.0,0.013930031043492167
40,4.0,46.97522115569679,215.4949163156292,6.80008255184788,0,8,68,0,100,0.0,0.015331921603471257
41,4.1000000000000005,47.692322485365366,220.21744173405108,6.91894752206133,0,0,68,0,100,0.0,0.016823574830656163
42,4.2,48.4043029377798,224.91635452538085,7.035576062192363,0,0,68,0,100,0.0,0.018403468068983863
43,4.3,49.11205107568381,229.5917727527539,7.1500046429921165,0,0,68,0,100,0.0,0.020069652662878475
44,4.4,49.81696171556152,234.24381388899013,7.262271712921627,8,0,60,0,100,0.0,0.0063372418611710455
