step,time_s,active_count,lost_count,transmission_fraction,mean_energy_ev,rms_energy_spread_ev,mean_position_m,rms_bunch_length_m,mean_y_m,rms_beam_size_m,rms_divergence_rad,geometric_emittance_m_rad,normalized_emittance_m_rad,mean_z_m,rms_z_beam_size_m,rms_z_divergence_rad,z_geometric_emittance_m_rad,z_normalized_emittance_m_rad,rms_radial_beam_size_m
0,0.0,500,0,1.0,1000108.2831682328,9727.74842770548,8.046662449348019e-05,0.0020828975132286924,4.847326271978316e-06,0.0009664993365686026,0.0009460875431655955,9.117154532665857e-07,4.21060010051678e-08,-8.616130211536226e-05,0.0009301885988902177,0.0009755774324963897,9.062594015552252e-07,4.1854022695466366e-08,0.0013441796991649209
25,4.9999999999999995e-11,500,0,1.0,1000108.2831682328,9727.74842770548,0.0007719986451113044,0.0020827671344412937,4.809527337624257e-06,0.0009665493952793462,0.0009460875431655955,9.117152748896719e-07,4.2105992767138613e-08,-8.616192605719352e-05,0.0009301541586217019,0.0009755774324963897,9.062595622476778e-07,4.18540301167693e-08,0.0013441917651031837
50,1.0000000000000012e-10,500,0,1.0,1000108.2831682328,9727.74842770548,0.0014635306657291285,0.00208264215984888,4.771728403270198e-06,0.0009665998941593394,0.0009460875431655955,9.117150965222337e-07,4.210598452954705e-08,-8.616254999902479e-05,0.0009301202063802458,0.0009755774324963897,9.062597229505028e-07,4.185403753855127e-08,0.0013442044889524682
75,1.5000000000000005e-10,500,0,1.0,1000108.2831682328,9727.74842770548,0.0021550626863469525,0.0020825225904243867,4.733929468916137e-06,0.0009666508331395973,0.0009460875431655955,9.117149181642713e-07,4.21059762923931e-08,-8.616317394085606e-05,0.0009300867422192947,0.0009755774324963897,9.062598836637003e-07,4.185404496081227e-08,0.0013442178706940915
100,1.9999999999999988e-10,500,0,1.0,1000108.2831682328,9727.74842770548,0.0028465947069647767,0.0020824084270988892,4.696130534562075e-06,0.0009667022121505489,0.0009460875431655955,9.117147398157846e-07,4.210596805567677e-08,-8.616379788268731e-05,0.0009300537661915334,0.0009755774324963897,9.062600443872704e-07,4.1854052383552316e-08,0.0013442319103084061
125,2.499999999999997e-10,500,0,1.0,1000108.2831682328,9727.74842770548,0.0035381267275826013,0.0020822996707615658,4.658331600208012e-06,0.0009667540311220365,0.0009460875431655955,9.117145614767734e-07,4.210595981939805e-08,-8.616442182451858e-05,0.0009300212783488856,0.0009755774324963897,9.062602051212129e-07,4.1854059806771394e-08,0.0013442466077747987
150,2.9999999999999953e-10,500,0,1.0,1000108.2831682328,9727.74842770548,0.004229658748200425,0.0020821963222596622,4.62053266585395e-06,0.0009668062899833169,0.0009460875431655955,9.117143831472381e-07,4.2105951583556964e-08,-8.616504576634984e-05,0.0009299892787425131,0.0009755774324963897,9.062603658655279e-07,4.18540672304695e-08,0.0013442619630716919
175,3.4999999999999936e-10,500,0,1.0,1000108.2831682328,9727.74842770548,0.004921190768818249,0.0020820983823984602,4.582733731499887e-06,0.0009668589886630619,0.0009460875431655955,9.117142048271784e-07,4.210594334815349e-08,-8.616566970818111e-05,0.0009299577674228165,0.0009755774324963897,9.062605266202154e-07,4.1854074654646654e-08,0.0013442779761765427
200,3.999999999999992e-10,500,0,1.0,1000108.2831682328,9727.74842770548,0.0056127227894360735,0.0020820058519412446,4.544934797145825e-06,0.0009669121270893586,0.0009460875431655955,9.117140265165946e-07,4.210593511318764e-08,-8.616629365001238e-05,0.0009299267444394337,0.0009755774324963897,9.062606873852754e-07,4.1854082079302836e-08,0.001344294647065844
225,4.49999999999999e-10,500,0,1.0,1000108.2831682328,9727.74842770548,0.006304254810053898,0.0020819187316092743,4.507135862791762e-06,0.0009669657051897095,0.0009460875431655955,9.117138482154865e-07,4.210592687865941e-08,-8.616691759184364e-05,0.0009298962098412399,0.0009755774324963897,9.062608481607077e-07,4.185408950443805e-08,0.0013443119757151243
