step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00725761,0.000942341,28507,0.00362839,0.0425195,0.00398169,0.434982
100,5.79694,0.000761227,35422,0.128944,0.616096,0.00470863,0.540497
200,13.5044,0.00319072,34253,0.159462,0.658407,0.00557563,0.522659
300,18.8133,0.004695,33911,0.17373,0.72984,0.00646917,0.517441
400,22.4198,0.00628998,33870,0.182849,0.801971,0.00710351,0.516815
500,25.1078,0.00410722,33836,0.189937,0.750287,0.00764655,0.516296
600,27.1443,0.00511353,33885,0.194499,0.742078,0.00821566,0.517044
700,29.0788,0.00735824,33969,0.198042,0.7446,0.00879489,0.518326
800,30.5628,0.0052633,33967,0.203788,0.795106,0.00916469,0.518295
900,32.2017,0.00719263,34039,0.20746,0.766795,0.00949447,0.519394
1000,33.6123,0.00782267,34024,0.209694,0.804427,0.00977016,0.519165
1100,34.5436,0.00705613,34065,0.21287,0.803737,0.00995379,0.519791
1200,36.1932,0.00320704,34083,0.215465,0.784283,0.0103626,0.520065
1300,37.8963,0.00328708,34220,0.21898,0.822822,0.0106636,0.522156
1400,39.6656,0.00246442,34324,0.221981,0.816072,0.0110241,0.523743
1500,41.6473,0.00378501,34391,0.225095,0.802533,0.0114695,0.524765
1600,43.5951,0.011427,34397,0.227518,0.82719,0.0120187,0.524857
1700,45.5304,0.0148359,34444,0.230066,0.761664,0.0125752,0.525574
1800,47.4761,0.0168586,34476,0.23191,0.846022,0.0129718,0.526062
1900,49.1175,0.0118558,34449,0.235563,0.852463,0.0133154,0.52565
1999,50.8444,0.00801284,25015,0.2388,0.809941,0.0134326,0.381699
