step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.57484e-06,0.000577461,0,0,0
100,7.67985e-05,0.000595517,65536,0,0
200,0.00010035,0.000626499,65536,0,0
300,0.00012515,0.00065479,65536,0,0
400,0.00014936,0.000676839,65536,0,0
500,0.000167847,0.000693117,65536,0,0
600,0.00017967,0.000705455,65536,0,0
700,0.000186023,0.000715563,65536,0,0
800,0.000188448,0.000724567,65536,0,0
900,0.000188202,0.000733146,65536,0,0
1000,0.000186182,0.000741647,65536,0,0
1100,0.000183004,0.00075017,65536,0,0
1200,0.000179077,0.000758706,65536,0,0
1300,0.000174677,0.00076719,65536,0,0
1400,0.000169993,0.000775535,65536,0,0
1500,0.000165153,0.000783656,65536,0,0
1600,0.000160245,0.000791483,65536,0,0
1700,0.000155329,0.000798951,65536,0,0
1800,0.000150451,0.000806044,65536,0,0
1900,0.000145637,0.00081273,65536,0,0
1999,0.000140962,0.000818948,65536,0,0
