step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00161701,0.0037951,1666,0.00161386,0.0362192,0.0107497,0.101685
100,0.354675,0.00653128,9396,0.100618,0.807407,0.0106743,0.573486
200,1.38529,0.0106632,11944,0.197454,1.12468,0.0108978,0.729004
300,2.93758,0.00525298,12673,0.251167,1.15528,0.0113629,0.773499
400,4.47176,0.00870103,12889,0.288125,1.17419,0.011802,0.786682
500,5.89424,0.00366332,13125,0.311127,1.22016,0.0117067,0.801086
600,6.98391,0.00538561,13246,0.323886,1.24213,0.0117298,0.808472
700,8.08026,0.00884533,13416,0.338335,1.3459,0.0122095,0.818848
800,8.44509,0.011453,13442,0.338686,1.36089,0.0124107,0.820435
900,9.16228,0.00227822,13517,0.350608,1.3126,0.0124693,0.825012
999,10.0928,0.0205511,13664,0.359214,1.35854,0.0121724,0.833984
