step,residue_coherence,orientation_alignment,corridor_count
0,3.14982e-06,0.0013481,0
100,0.000154011,0.00134551,0
200,0.000200531,0.00130963,0
300,0.000248416,0.00124371,0
400,0.000295278,0.00116753,0
500,0.000331225,0.0010968,0
600,0.000354314,0.00103533,0
700,0.000366814,0.000981085,0
800,0.000371703,0.000931536,0
900,0.00037141,0.000885369,0
1000,0.000367665,0.000842249,0
1100,0.000361653,0.00080239,0
1200,0.000354166,0.000766115,0
1300,0.000345738,0.000733678,0
1400,0.000336726,0.000705222,0
1500,0.000327387,0.000680721,0
1600,0.000317891,0.000660001,0
1700,0.000308353,0.000642784,0
1800,0.00029887,0.000628761,0
1900,0.000289497,0.000617546,0
1999,0.000280369,0.000608886,0
