step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,6.004e-06,0.000550071,0,0,0
100,0.000205455,0.000549814,65536,0,0
200,0.000242644,0.000550061,65536,0,0
300,0.000240908,0.000550369,65536,0,0
400,0.000231897,0.000550661,65536,0,0
500,0.000222418,0.000550924,65536,0,0
600,0.000213519,0.000551162,65536,0,0
700,0.000205186,0.000551372,65536,0,0
800,0.000197303,0.00055155,65536,0,0
900,0.0001898,0.000551694,65536,0,0
1000,0.000182632,0.000551814,65536,0,0
1100,0.000175775,0.000551901,65536,0,0
1200,0.000169207,0.000551989,65536,0,0
1300,0.000162914,0.000552048,65536,0,0
1400,0.000156881,0.000552104,65536,0,0
1500,0.000151096,0.000552144,65536,0,0
1600,0.000145544,0.000552188,65536,0,0
1700,0.000140216,0.000552204,65536,0,0
1800,0.000135102,0.000552219,65536,0,0
1900,0.000130191,0.000552237,65536,0,0
1999,0.000125498,0.000552167,65536,0,0
