mode,s_test,seed,epsilon_max,epsilon_min,active_fraction
baseline,-0.02,1,8.527750891501475e-05,0.0,0.0
baseline,-0.02,2,0.0001587018339189445,0.0,0.0
baseline,-0.02,3,5.2852863332240754e-05,0.0,0.0
baseline,-0.04,1,8.527656200554319e-05,0.0,0.0
baseline,-0.04,2,0.0001587008871129206,0.0,0.0
baseline,-0.04,3,5.284767177201357e-05,0.0,0.0
baseline,-0.06,1,8.527561509606985e-05,0.0,0.0859375
baseline,-0.06,2,0.0001586999403068937,0.0,0.0859375
baseline,-0.06,3,5.2842480211780225e-05,0.0,0.0859375
baseline,-0.08,1,8.527466818659369e-05,0.0,0.1484375
baseline,-0.08,2,0.0001586989935008636,0.0,0.1484375
baseline,-0.08,3,5.283728865154096e-05,0.0,0.1484375
baseline,-0.12,1,8.527277436763648e-05,0.0,0.2109375
baseline,-0.12,2,0.0001586970998887923,0.0,0.2109375
baseline,-0.12,3,5.282690553104423e-05,0.0,0.2109375
baseline,-0.1,1,8.527372127711632e-05,0.0,0.1875
baseline,-0.1,2,0.00015869804669482873,0.0,0.1875
baseline,-0.1,3,5.283209709129561e-05,0.0,0.1875
baseline,0.02,1,0.019568025580502493,0.0,0.0
baseline,0.02,2,0.019548767452117498,0.0,0.0
baseline,0.02,3,0.019524994301276643,0.0,0.0
baseline,0.04,1,0.038254267207780523,0.0,0.0
baseline,0.04,2,0.038235635122793966,0.0,0.0
baseline,0.04,3,0.03821263719942375,0.0,0.0
baseline,0.06,1,0.056288611653087677,0.0,0.0859375
baseline,0.06,2,0.05627057293167921,0.0,0.0859375
baseline,0.06,3,0.056248309741480915,0.0,0.0859375
baseline,0.08,1,0.0737050113996598,0.0,0.1484375
baseline,0.08,2,0.07368753561807181,0.0,0.1484375
baseline,0.08,3,0.07366596946326269,0.0,0.1484375
baseline,0.12,1,0.10680834746705889,0.0,0.2109375
baseline,0.12,2,0.10679191437754944,0.0,0.2109375
baseline,0.12,3,0.1067716392201419,0.0,0.2109375
baseline,0.1,1,0.09053509179859728,0.0,0.1875
baseline,0.1,2,0.09051815059715923,0.0,0.1875
baseline,0.1,3,0.09049724633846593,0.0,0.1875
preconditioned_neg,-0.02,1,8.497849262318844e-05,0.0,0.3671875
preconditioned_neg,-0.02,2,0.00015840165612464714,0.0,0.3671875
preconditioned_neg,-0.02,3,5.1717750671370204e-05,0.0,0.3671875
preconditioned_neg,-0.04,1,8.49775457212323e-05,0.0,0.3671875
preconditioned_neg,-0.04,2,0.00015840070932592203,0.0,0.3671875
preconditioned_neg,-0.04,3,5.1712559151944055e-05,0.0,0.3671875
preconditioned_neg,-0.06,1,8.497659881927438e-05,0.0,0.3828125
preconditioned_neg,-0.06,2,0.00015839976252719307,0.0,0.3828125
preconditioned_neg,-0.06,3,5.170736763256435e-05,0.0,0.3828125
preconditioned_neg,-0.08,1,8.49756519173143e-05,0.0,0.3828125
preconditioned_neg,-0.08,2,0.000158398815728462,0.0,0.3828125
preconditioned_neg,-0.08,3,5.170217611323121e-05,0.0,0.3828125
preconditioned_neg,-0.12,1,8.497375811338885e-05,0.0,0.3828125
preconditioned_neg,-0.12,2,0.0001583969221309888,0.0,0.3828125
preconditioned_neg,-0.12,3,5.169179307470423e-05,0.0,0.3828125
