x_mean,x_rms,p_rms,order_parameter,local_coherence_mean,residue_mean,mismatch_mean,K_phi,plateau_index
-0.005366088449988444,0.09539115296818189,0.10127552170674185,0.22721340046391203,0.051625929350374064,2.6564839211140505,0.21724284397563642,0.0,0
-0.007449661240887917,0.09624807572226432,0.10046148108457818,0.04461112146781645,0.001990152158616276,10.648557667127154,0.440942149479382,0.1,1
-0.009402159104540621,0.097246847648759,0.09949497366550253,0.3972603640477081,0.15781579684331748,24.059772390168813,0.634300579526979,0.2,2
-0.011189228402580251,0.0983143045197217,0.09844030977957065,0.8976940998969204,0.8058546969897418,36.259856982164656,0.3270778205190677,0.30000000000000004,3
-0.012779426169605734,0.09937466531571534,0.09736976356373993,0.9616449528951979,0.9247610154288073,40.51310918389657,0.13752846714167505,0.4,4
-0.014144773343027712,0.1003550006867706,0.09635905095320418,0.977039257715183,0.9546057111166358,42.43093419778272,0.1084710640376033,0.5,5
-0.015261247046455807,0.10118986539256698,0.09548194544338323,0.9845244060466435,0.9692883061014959,43.98485125153884,0.10378178024159046,0.6000000000000001,6
-0.01610920326504553,0.10182495801912275,0.09480435954426493,0.988818091721597,0.9777612185159402,45.4398661484458,0.10245820538025394,0.7000000000000001,7
-0.01667372247595785,0.10221981945649368,0.09437846722029218,0.9915271211284323,0.983126031933237,46.837138538449864,0.10180663972199733,0.8,8
-0.016944872152668714,0.10234965361424701,0.09423764040970767,0.9933515385996344,0.9867472792382611,48.1877121814955,0.1013979122023925,0.9,9
-0.016917881524448092,0.10220636614940687,0.0943930139568343,0.9946408621695619,0.9893104446974093,49.49689776838471,0.10111696692368746,1.0,10
-0.01659322551617364,0.1017988911579143,0.09483230475274286,0.9955866630444015,0.9911928036318867,50.7680815127647,0.10091411753870805,1.1,11
-0.015976616391591685,0.10115283023827895,0.09552111337741183,0.9963014828675599,0.9926166447640986,52.00370048501116,0.1007624742456012,1.2000000000000002,12
-0.01507890324706964,0.10030937702915711,0.09640645697500529,0.9968551118816099,0.9937201140844969,53.20563938182911,0.1006459775082963,1.3,13
-0.01391588112422955,0.09932345539776424,0.09742189268678983,0.9972927584510485,0.9945928460589017,54.375433730467485,0.10055446412405367,1.4000000000000001,14
-0.012508013100081889,0.09826097504550077,0.09849341424842926,0.9976447815836681,0.995295110221125,55.51438541792786,0.10048122256107085,1.5,15
-0.01088007024441542,0.0971951230362239,0.09954535562021914,0.9979321959598896,0.9958686677333276,56.62363260534335,0.1004216662413834,1.6,16
-0.009060695779300848,0.09620168522495552,0.10050573828313876,0.9981699297932055,0.9963432087433725,57.70419405330303,0.10037256987590232,1.7000000000000002,17
-0.007081901109207802,0.0953535436563714,0.10131074612552476,0.9983688279957728,0.9967403167136527,58.756998315090826,0.10033160955038005,1.8,18
-0.0049785025889512,0.09471471839593547,0.10190822139501195,0.9985369249842961,0.9970759905570936,59.782903598637894,0.10029707521959734,1.9000000000000001,19
-0.0027875089393839345,0.09433456831752028,0.10226021019654478,0.9986802768276777,0.9973622953246067,60.782711669120175,0.10026768519457323,2.0,20
-0.0005474700890897975,0.09424294444433048,0.10234464662079688,0.9988035190986062,0.9976084697637595,61.75717782965265,0.10024246311815094,2.1,21
0.0017022011009705839,0.09444709556472362,0.10215626906479928,0.9989102492335716,0.9978216860238763,62.70701825253751,0.1002206544018061,2.2,22
0.003921922295793817,0.09493089794078628,0.10170683205363684,0.9990032938483762,0.9980075811199047,63.63291547887022,0.10020166825100953,2.3000000000000003,23
0.00607263812644069,0.09565655861512198,0.10102462949460204,0.9990848989767461,0.9981706353633746,64.53552262551241,0.10018503667675076,2.4000000000000004,24
0.00811650735824747,0.09656846551376348,0.10015329420097173,0.9991568676488349,0.9983144461698317,65.41546666271901,0.10017038502089727,2.5,25
0.010017568696610404,0.0975984976238569,0.0991497959298706,0.9992206608488774,0.9984419290672674,66.27335101222086,0.10015741043396043,2.6,26
0.011742373515679623,0.09867197176972888,0.09808154086688642,0.9992774725926902,0.9985554672312348,67.10975764065653,0.10014586593947655,2.7,27
0.013260574377282053,0.09971348599364589,0.09702249885013263,0.9993282864445612,0.998657024088223,67.92524877282202,0.1001355484840494,2.8000000000000003,28
0.014545458985252677,0.10065213701487775,0.096048372119717,0.9993739185421296,0.9987482290622509,68.72036831465469,0.10012628987124614,2.9000000000000004,29
0.015574420180403186,0.10142583478566833,0.09523098451092604,0.9994150506911257,0.998830443547945,69.49564305180395,0.10011794980928489,3.0,30
