step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00328897,0.0014644,6883,0.00164417,0.0358632,0.00434803,0.105026
100,1.10384,0.00259486,43320,0.119641,0.927455,0.00507067,0.661011
200,3.98474,0.00374603,50741,0.200158,0.951853,0.00572482,0.774246
300,7.47016,0.00364439,51973,0.245198,0.993867,0.00617302,0.793045
400,10.4583,0.00388467,52643,0.266806,0.993834,0.0065553,0.803268
500,12.7393,0.00663138,53280,0.28139,1.03369,0.00712001,0.812988
600,14.3563,0.00764385,53551,0.293419,1.05212,0.00775499,0.817123
700,15.7292,0.00461046,53801,0.30403,1.055,0.00813753,0.820938
800,16.9599,0.00492987,54048,0.311377,1.09687,0.00836005,0.824707
900,17.9301,0.00213587,54257,0.317202,1.07283,0.00862715,0.827896
1000,18.6603,0.00601168,54457,0.323259,1.06337,0.00899568,0.830948
1100,19.607,0.00691671,54645,0.329119,1.07884,0.00912719,0.833817
1200,20.633,0.00765004,54922,0.335065,1.07257,0.00925334,0.838043
1300,21.787,0.00447421,55236,0.340297,1.09013,0.00949762,0.842834
1400,22.6592,0.00200701,55409,0.344135,1.07475,0.00981172,0.845474
1500,23.3913,0.00602021,55577,0.348908,1.12736,0.0101247,0.848038
1600,24.5134,0.00740897,55807,0.355155,1.10683,0.0104823,0.851547
1700,25.3766,0.00270216,56071,0.355473,1.05115,0.0108269,0.855576
1800,26.5253,0.00628735,56340,0.362001,1.08971,0.011225,0.85968
1900,27.7799,0.00550896,56562,0.365229,1.12038,0.0117428,0.863068
1999,28.6954,0.00960318,56733,0.3665,1.09786,0.0123478,0.865677
