step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00724219,0.00130782,28406,0.00362068,0.0377262,0.00461355,0.433441
100,5.81534,0.00282339,59468,0.129122,0.621569,0.00475364,0.90741
200,13.5536,0.00336015,57126,0.1607,0.673623,0.00424373,0.871674
300,19.0197,0.00548191,56899,0.175828,0.775222,0.00374414,0.86821
400,22.6218,0.00157853,56920,0.183832,0.754512,0.00373755,0.86853
500,25.1532,0.00349424,56986,0.189442,0.810578,0.00337782,0.869537
600,27.0368,0.00471005,57164,0.194716,0.76001,0.00317493,0.872253
700,28.7434,0.00682876,57351,0.199255,0.808251,0.00309233,0.875107
800,30.2201,0.0115923,57491,0.203017,0.800527,0.00305786,0.877243
900,31.846,0.0123404,57701,0.207185,0.759238,0.00300942,0.880447
1000,33.2983,0.0052163,57956,0.209981,0.778822,0.00309,0.884338
1100,35.1798,0.00659579,58141,0.214697,0.827639,0.00329432,0.887161
1200,36.969,0.0030599,58320,0.2178,0.811374,0.00350958,0.889893
1300,38.4678,0.00347454,58435,0.221463,0.80202,0.00388407,0.891647
1400,39.9991,0.00521207,58624,0.223654,0.770347,0.00420605,0.894531
1500,41.6123,0.00316802,58798,0.226632,0.796394,0.00453484,0.897186
1600,43.4126,0.0056425,58946,0.227875,0.829153,0.00472771,0.899445
1700,44.8134,0.00579886,59040,0.231022,0.870661,0.00492761,0.900879
1800,46.1744,0.00270388,59112,0.232139,0.842507,0.00509366,0.901978
1900,47.3308,0.0101439,59321,0.235113,0.795406,0.00534703,0.905167
1999,49.4965,0.00758146,59526,0.237041,0.801506,0.00580915,0.908295
