step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.56337e-06,0.00200531,0,0,0
100,7.67653e-05,0.0019761,65536,0,0
200,0.000100666,0.00190833,65536,0,0
300,0.000125113,0.001827,65536,0,0
400,0.00014877,0.0017468,65536,0,0
500,0.000166827,0.00167547,65536,0,0
600,0.000178401,0.00161715,65536,0,0
700,0.000184646,0.00157287,65536,0,0
800,0.000187061,0.00154179,65536,0,0
900,0.000186867,0.00152202,65536,0,0
1000,0.000184934,0.00151145,65536,0,0
1100,0.000181864,0.00150804,65536,0,0
1200,0.000178052,0.00150998,65536,0,0
1300,0.000173769,0.00151579,65536,0,0
1400,0.000169199,0.00152431,65536,0,0
1500,0.000164464,0.00153465,65536,0,0
1600,0.000159655,0.00154612,65536,0,0
1700,0.000154831,0.00155823,65536,0,0
1800,0.000150034,0.00157057,65536,0,0
1900,0.000145298,0.00158291,65536,0,0
1999,0.000140688,0.00159493,65536,0,0
