step,residue_coherence,orientation_alignment,corridor_count
0,0.000113549,0.000577461,0
100,0.0111348,0.000777225,0
200,0.0269473,0.00127845,0
300,0.058262,0.000791862,0
400,0.128614,0.000611911,0
500,0.30975,0.000510744,1997
600,0.87599,7.14535e-05,52919
700,2.64741,0.00046038,65536
800,7.4495,0.00051304,65536
900,20.2782,0.000536483,65536
1000,54.8955,0.000513327,65536
1100,148.499,0.0005133,65536
1200,401.672,0.000513348,65536
1300,1086.44,0.000513348,65536
1400,2938.64,0.000513352,65536
1500,7948.47,0.000513358,65536
1600,21499.1,0.00051335,65536
1700,58151.5,0.000513336,65536
1800,157288,0.000513339,65536
1900,425437,0.000513335,65536
1999,1.13933e+06,0.000513328,65536
