mechanism,coupling_kappa,seed,order_parameter
agent,0.4,101,0.021578659131841264
agent,0.4,102,0.05508098662766302
agent,0.4,103,0.04955901052893865
agent,0.6,101,0.4374388016852563
agent,0.6,102,0.0681929181892404
agent,0.6,103,0.039710230587307105
agent,0.8,101,0.022353493458072665
agent,0.8,102,0.05708374769815732
agent,0.8,103,0.05007479422050529
