step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,2.59666e-06,0,0,0,0
100,7.91407e-05,0.0024901,65536,0,0
200,0.000102357,0.0025625,65536,0,0
300,0.000126069,0.00262069,65536,0,0
400,0.000149303,0.00265672,65536,0,0
500,0.000167181,0.00267166,65536,0,0
600,0.000178669,0.00267,65536,0,0
700,0.000184856,0.00265671,65536,0,0
800,0.000187217,0.00263606,65536,0,0
900,0.000186971,0.00261132,65536,0,0
1000,0.000184991,0.00258487,65536,0,0
1100,0.000181875,0.00255831,65536,0,0
1200,0.000178023,0.00253259,65536,0,0
1300,0.000173702,0.00250835,65536,0,0
1400,0.000169098,0.00248585,65536,0,0
1500,0.000164335,0.00246526,65536,0,0
1600,0.000159501,0.00244654,65536,0,0
1700,0.000154656,0.00242963,65536,0,0
1800,0.000149844,0.0024144,65536,0,0
1900,0.000145093,0.00240071,65536,0,0
1999,0.000140432,0.0023884,65536,0,0
