step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.56781e-06,0.0021795,0,0,0
100,7.66316e-05,0.00213413,65532,0,0
200,9.99882e-05,0.00203115,65536,0,0
300,0.00012426,0.00190768,65536,0,0
400,0.000147957,0.00178739,65536,0,0
500,0.000166162,0.00168229,65536,0,0
600,0.00017789,0.00159675,65536,0,0
700,0.000184264,0.00153112,65536,0,0
800,0.000186781,0.0014838,65536,0,0
900,0.000186662,0.00145221,65536,0,0
1000,0.000184788,0.00143351,65536,0,0
1100,0.000181759,0.00142484,65536,0,0
1200,0.000177976,0.00142373,65536,0,0
1300,0.000173714,0.00142811,65536,0,0
1400,0.000169158,0.00143627,65536,0,0
1500,0.000164434,0.00144691,65536,0,0
1600,0.000159631,0.00145906,65536,0,0
1700,0.000154811,0.00147197,65536,0,0
1800,0.000150019,0.00148516,65536,0,0
1900,0.000145284,0.00149824,65536,0,0
1999,0.000140677,0.00151084,65536,0,0
