trial_id,omega_std,K,metric_order_parameter,metric_local_coherence_mean,metric_step,metric_time
0,0.14542490020954305,2.5,0.1477463777668271,0.9620825937857217,1990,99.5
1,0.2995487761644468,1.5,0.4749398143924504,0.8627005861356747,1990,99.5
2,0.3541882039491651,2.5,0.2946845703716252,0.8831924497825673,1990,99.5
3,0.011977669885164563,2.5,0.42932889634436683,0.9905960041912384,1990,99.5
4,0.32956906068511777,1.5,0.44765274369029134,0.8749127637175655,1990,99.5
5,0.17039451435586978,1.5,0.2864830293421147,0.9079130875230766,1990,99.5
6,0.36261818757199155,2.5,0.27689209262753534,0.8804184987773078,1990,99.5
7,0.15996882776734023,1.5,0.27334897099248195,0.9140049020369576,1990,99.5
8,0.37825588220856715,1.5,0.0935393150145414,0.85685806638368,1990,99.5
9,0.3658338776555109,2.5,0.27060868447309844,0.8797754837840805,1990,99.5
10,0.4993348631968295,1.5,0.21599717037079416,0.8184266087830808,1990,99.5
11,0.3491205639917845,2.5,0.30620340016801395,0.8855769097349447,1990,99.5
12,0.4962162588901105,1.5,0.1785889238272798,0.8211119695745628,1990,99.5
13,0.04903591920510203,1.5,0.2605758394597682,0.9719753376836302,1990,99.5
14,0.1857394208521092,1.5,0.31964339746107456,0.8986817901603364,1990,99.5
15,0.3709106839207646,2.5,0.25992690232656696,0.8813381406759224,1990,99.5
16,0.20367793975098444,1.5,0.3509842244670614,0.9123789314966052,1990,99.5
17,0.48201474913834236,2.5,0.16247410816329966,0.8466188604392122,1990,99.5
18,0.45333688961026586,2.5,0.3325042974276529,0.8779159664352933,1990,99.5
19,0.17449103697514687,2.5,0.10121024753594882,0.952692567388811,1990,99.5
20,0.32235761291241455,2.5,0.43325114573293466,0.8836495594982983,1990,99.5
21,0.0949049910134733,2.5,0.36325523155968126,0.9753916324645265,1990,99.5
22,0.014453158343928702,1.5,0.10954026653903272,0.9832801363876618,1990,99.5
23,0.3811230938084091,1.5,0.1104789481706709,0.856809014377794,1990,99.5
24,0.1321409319610179,1.5,0.3087344100886929,0.9292313404622281,1990,99.5
25,0.012090020692975122,1.5,0.11264008610399535,0.9835853054897419,1990,99.5
26,0.35550822958828887,2.5,0.2917748818923828,0.8826567159661007,1990,99.5
27,0.3868707541038297,1.5,0.13814059588187186,0.846696472000014,1990,99.5
28,0.26759557852742977,1.5,0.279902816384693,0.8961608669177064,1990,99.5
29,0.4077859060090185,1.5,0.38332269743631187,0.8008477660033557,1990,99.5
