x_mean,x_rms,p_rms,order_parameter,local_coherence_mean,residue_mean,mismatch_mean,step,time
0.03407184747193231,0.44474104896907146,0.4639335781490647,0.09048974725806821,0.0058564809809458366,1.2499678516742507e-05,0.0004999930368212508,0,0.0
0.06575612147073366,0.46727606278723177,0.4412278842302662,0.15038395120162276,0.020646370349163543,0.0015119151059708072,0.005497899995102423,10,0.5
0.08134100519778516,0.4775149740854797,0.4301260435085832,0.24756108689166248,0.059858127319651865,0.005506377544188282,0.01048245075992399,20,1.0
0.0770107760027571,0.4668207404396962,0.44170958692277407,0.3944748432993351,0.15506859803334636,0.011980325254427916,0.015416246825763364,30,1.5
0.053825624948640606,0.444224045271573,0.4644286377805134,0.5837961446985065,0.34141858790091156,0.020886111693856083,0.020202670682885396,40,2.0
0.017462085080224246,0.4303347193124517,0.47732692197939885,0.7686350107297717,0.5918422226828145,0.03211078634912647,0.024684927956550605,50,2.5
-0.023176781708171657,0.438917340608238,0.46944704526644493,0.9017908304689753,0.8138558174444053,0.04546758438142599,0.028745784788047662,60,3.0
-0.05814116451208698,0.4613645766984511,0.44740550585326117,0.9716317231272863,0.9446073014679008,0.06074110027505277,0.03239281332650609,70,3.5
-0.0788705638895229,0.47669128295113317,0.4310387211867469,0.993086175952944,0.9865940413535073,0.07774961853276023,0.03574028659298168,80,4.0
-0.08028970046334566,0.4717646905224563,0.4364252906100932,0.9973977657027705,0.9949958781654389,0.09637067824737666,0.038889186708530525,90,4.5
-0.062051120183839154,0.4507053607675028,0.45814150039833584,0.9982449598293142,0.9965908636959244,0.11651552646528876,0.04187751317064006,100,5.0
-0.02862026317894192,0.43222158845250425,0.47561902210839624,0.9984483691624513,0.9969537630638341,0.1381069690540178,0.04471891363086411,110,5.5
0.011817831624593872,0.43428887520305853,0.47373212651726,0.9985115177485826,0.9970605566705478,0.16107300807494368,0.04742170350887464,120,6.0
0.0493625092953807,0.45482124202869184,0.4540557143381536,0.998535563698538,0.9970996606344493,0.18534545273846348,0.049992902473223966,130,6.5
0.07482152427610463,0.4741287305613898,0.43385585150352385,0.9985459611148687,0.9971161074193629,0.2108595091272026,0.052438995169418544,140,7.0
0.08196162245342284,0.47531453755620917,0.4325564038588259,0.9985508239250983,0.9971236227781918,0.23755356185347082,0.0547660980452541,150,7.5
0.06903465899366638,0.4573891386149657,0.4514688550858876,0.9985532284072155,0.9971272566243801,0.26536900349514936,0.05698001189738218,160,8.0
0.03920560511299799,0.4359039400356813,0.47224644562010376,0.9985544715840169,0.9971290943806398,0.2942500823763723,0.05908624803634026,170,8.5
-0.0002223471893939033,0.4312675952700759,0.47648421874535185,0.9985551387678456,0.9971300601048455,0.32414376116619115,0.06109004645004916,180,9.0
-0.03959586106526158,0.4481514694006502,0.46063999937195027,0.9985555080615582,0.9971305845160573,0.3549995837165727,0.06299639073175274,190,9.5
-0.06927492811134686,0.470005387954064,0.43831938463345643,0.9985557176181418,0.9971308771984322,0.38676954897308413,0.06481002133529054,200,10.0
-0.08199307839045947,0.4772208589301087,0.43045231856416033,0.9985558388700907,0.9971310442172923,0.4194079912941097,0.06653544777306847,210,10.5
-0.07463646551073849,0.46374563477960773,0.4449369978795432,0.9985559100816735,0.9971311412099451,0.45287146672413514,0.06817696003186938,220,11.0
-0.04900624473404971,0.4410482392338518,0.4674456071372059,0.9985559523770098,0.9971311983034263,0.48711864486502143,0.06973863934361325,230,11.5
-0.011377587385145637,0.4301296122634557,0.47751173883077586,0.9985559777095757,0.9971312322588968,0.5221102060408866,0.07122436838800994,240,12.0
