s_perturb,mean,std,baseline,hysteresis_detected
0.3,0.37109375,0.0,0.332,False
0.32,0.37890625,0.0,0.332,False
0.34,0.37890625,0.0,0.332,False
0.36,0.38671875,0.0,0.332,True
0.38,0.38671875,0.0,0.332,True
0.4,0.38671875,0.0,0.332,True
0.42,0.39453125,0.0,0.332,True
0.44,0.39453125,0.0,0.332,True
