step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00724219,0.00130782,28406,0.00362068,0.0377262,0.00461355,0.433441
100,5.81533,0.00282339,59468,0.129122,0.621569,0.00475364,0.90741
200,21.7368,0.0111255,58495,0.137843,0.663878,0.00463986,0.892563
300,48.7256,0.0145826,58879,0.148957,0.69746,0.00458729,0.898422
400,88.0989,0.0197829,59303,0.160479,0.737711,0.00452273,0.904892
500,132.548,0.00581287,59610,0.16515,0.889323,0.00448069,0.909576
600,194.712,0.0192705,60002,0.172585,0.803625,0.00466083,0.915558
700,252.202,0.0288745,60259,0.178226,0.823581,0.00491678,0.919479
800,333.337,0.0362152,60500,0.18271,0.811872,0.00513273,0.923157
900,416.184,0.00395433,60803,0.188994,0.763581,0.0054843,0.92778
1000,520.433,0.0218755,61082,0.193991,0.798715,0.00604171,0.932037
1100,656.987,0.0445327,61281,0.198018,0.781898,0.00639867,0.935074
1200,738.377,0.0166505,61497,0.201141,0.772113,0.00666209,0.93837
1300,853.501,0.0472632,61587,0.206001,0.767518,0.00691315,0.939743
1400,1133.5,0.0285187,61782,0.208854,0.825834,0.00730462,0.942719
1500,1306.1,0.117814,61852,0.210712,0.829958,0.00776774,0.943787
1600,1406.69,0.0895931,62036,0.216588,0.8183,0.00823896,0.946594
1700,1484.72,0.0334826,62202,0.218943,0.833857,0.00853672,0.949127
1800,2007.97,0.0735797,62225,0.222096,0.8367,0.00867812,0.949478
1900,2441.36,0.108979,62479,0.225117,0.801995,0.0088884,0.953354
1999,2540.69,0.0372927,62702,0.228348,0.862278,0.00901177,0.956757
