step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.56994e-06,0.000734035,0,0,0
100,7.68504e-05,0.000757546,65536,0,0
200,0.000100632,0.000800438,65536,0,0
300,0.000125309,0.00084412,65536,0,0
400,0.000149245,0.000883953,65536,0,0
500,0.000167521,0.000919939,65536,0,0
600,0.000179202,0.000952683,65536,0,0
700,0.000185469,0.000982535,65536,0,0
800,0.000187839,0.00100959,65536,0,0
900,0.000187559,0.00103391,65536,0,0
1000,0.000185524,0.00105552,65536,0,0
1100,0.00018234,0.00107454,65536,0,0
1200,0.000178415,0.00109112,65536,0,0
1300,0.000174021,0.00110549,65536,0,0
1400,0.000169347,0.00111784,65536,0,0
1500,0.000164519,0.00112841,65536,0,0
1600,0.000159624,0.00113741,65536,0,0
1700,0.000154728,0.00114504,65536,0,0
1800,0.000149866,0.00115147,65536,0,0
1900,0.000145072,0.00115687,65536,0,0
1999,0.000140413,0.00116134,65536,0,0
