active_fraction,mean_mismatch,max_mismatch,mean_residue,step
0.0,1.0,1.0,0.09899999999999999,0
0.0,1.0,1.0,0.08953382542587167,10
0.0,1.0,1.0,0.0809727868221258,20
0.0,1.0,1.0,0.07323033696543971,30
0.0,1.0,1.0,0.06622820409839834,40
0.0,1.0,1.0,0.059895600646616115,50
0.0,1.0,1.0,0.05416850759668535,60
0.0,1.0,1.0,0.048989027300420505,70
0.0,1.0,1.0,0.044304798162617266,80
0.0,1.0,1.0,0.04006846529515407,90
0.0,1.0,1.0,0.03623720178604972,100
0.0,1.0,1.0,0.0327722757437804,110
0.0,1.0,1.0,0.029638658739920835,120
0.0,1.0,1.0,0.026804671691687446,130
0.0,1.0,1.0,0.024241664604458053,140
0.0,1.0,1.0,0.021923726936647275,150
0.0,1.0,1.0,0.01982742565889147,160
0.0,1.0,1.0,0.017931568359471076,170
0.0,1.0,1.0,0.01621698900110067,180
0.0,1.0,1.0,0.014666354163210384,190
