step,residue_coherence,orientation_alignment,corridor_count
0,0.000100818,0.00197777,0
100,0.0521997,0.0093038,0
200,0.127432,0.0135353,0
300,0.194826,0.00478025,1
400,0.255138,0.00706717,224
500,0.333793,0.00660906,1143
600,0.524626,0.00972862,1679
700,1.09576,0.00534203,1923
800,2.69729,0.0102644,2172
900,7.0474,0.00647782,2393
1000,18.3726,0.00849534,2638
1100,47.847,0.00520863,2883
1200,126.034,0.00892792,3067
1300,328.276,0.00592159,3253
1400,855.31,0.00740113,3444
1500,2219.6,0.00341614,3639
1600,5733.09,0.0126365,3810
1700,14895.3,0.00981775,3980
1800,38620.7,0.014128,4115
1900,100186,0.00867165,4306
1999,250142,0.0115404,4475
