active_fraction,mean_mismatch,max_mismatch,mean_residue,step
0.0024,0.00806,1.0,0.9901200000000001,0
0.0008,0.00785359564624,1.0,0.8966153380223494,10
0.0,0.0076879640742201615,1.0,0.8111488345571932,20
0.0016,0.007641115364095232,1.0,0.7339924675312666,30
0.0008,0.007592107584128394,1.0,0.6640796709108092,40
0.0,0.00747886385522647,1.0,0.6009644506297442,50
0.0008,0.007433242602440438,1.0,0.5438458626978558,60
0.0008,0.007360179436230452,1.0,0.49228384674865155,70
0.002,0.007228480643176607,1.0,0.4457132535102128,80
0.002,0.007153760819215614,1.0,0.4035592740341799,90
