step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.000823203,0.00210708,6860,0.00164348,0.0352219,0.00664679,0.104675
100,0.124786,0.00132214,36662,0.0851904,0.842526,0.00788304,0.559418
200,0.336517,0.000564356,47913,0.149518,0.805765,0.00889154,0.731094
300,0.629293,0.00048326,50484,0.186785,0.882481,0.00953017,0.770325
400,0.913952,0.00152378,51713,0.209856,0.939381,0.00981626,0.789078
500,1.17,0.00373117,52265,0.22636,0.895427,0.0102904,0.797501
600,1.37509,0.00475557,52768,0.237889,1.01002,0.0107415,0.805176
700,1.55095,0.00264414,53170,0.246218,0.918121,0.0113187,0.81131
800,1.68558,0.00165917,53553,0.253361,1.0027,0.0120249,0.817154
900,1.83276,0.00470312,53758,0.26137,1.01071,0.0127742,0.820282
1000,1.95492,0.00188324,53998,0.26653,0.980278,0.0135089,0.823944
1100,2.08833,0.00496444,54279,0.273114,0.981932,0.0142087,0.828232
1200,2.21757,0.00112519,54375,0.277727,0.958038,0.0147715,0.829697
1300,2.3202,0.0060922,54552,0.282587,1.0502,0.0151545,0.832397
1400,2.45009,0.00802816,54829,0.288241,1.00141,0.0154125,0.836624
1500,2.5294,0.00575113,55005,0.289333,0.961495,0.0156848,0.83931
1600,2.59972,0.00125116,55306,0.292264,1.00037,0.016091,0.843903
1700,2.69657,0.00236406,55546,0.297854,0.965714,0.0164802,0.847565
1800,2.86768,0.00418867,55714,0.303654,1.03901,0.0168607,0.850128
1900,2.96519,0.00396062,56006,0.303393,1.06026,0.017348,0.854584
1999,3.04219,0.000123544,56261,0.306825,1.00543,0.0178933,0.858475
