step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00159179,0.0020079,1648,0.00158869,0.0357397,0.00853207,0.100586
100,0.351223,0.00615575,9407,0.100504,1.02381,0.00954982,0.574158
200,1.35978,0.00862534,11924,0.19579,1.07148,0.0110699,0.727783
300,3.08159,0.00700784,12788,0.255577,1.18117,0.0121299,0.780518
400,4.716,0.00927674,13060,0.288005,1.2717,0.0123234,0.797119
500,6.07981,0.00944139,13193,0.308973,1.32981,0.0121413,0.805237
600,7.18903,0.0160258,13355,0.32598,1.38849,0.0123389,0.815125
700,8.13758,0.0111497,13431,0.339077,1.27954,0.0126235,0.819763
800,8.91404,0.00790285,13546,0.348492,1.37469,0.0133261,0.826782
900,9.7037,0.00827094,13630,0.355195,1.37966,0.0142955,0.831909
999,10.078,0.0132048,13653,0.361101,1.4142,0.015266,0.833313
