temperature,lambda,eta,seed,full_log_loss,memoryless_log_loss,random_log_loss,shuffled_log_loss,finite_history_log_loss,best_history_k,strongest_control_log_loss,relative_improvement,paired_future_jsd,random_residue_jsd,shuffled_residue_jsd,finite_history_jsd,mean_residue_norm,beats_memoryless,beats_random,beats_shuffled,beats_finite_history
0.08,0.1,0.025,0,0.19900783011940557,3.4732734486017685,5.176478959740824,4.62313334111903,0.6065360908575367,2,0.6065360908575367,0.6718944954486664,0.2178491723505792,0.2901373323421515,0.2359313588644546,0.014899414128906427,0.06657342690131504,True,True,True,True
0.08,0.1,0.025,1,0.045583815743195505,1.0159086423329209,2.6156010842208235,1.1130269415931138,0.04279183787608244,1,0.04279183787608244,-0.06524557031642657,0.23245081252706007,0.22941734769555922,0.1608376697333343,0.0009187259572274542,0.062480959864379515,True,True,True,False
0.08,0.1,0.025,2,0.0012229799350868507,1.1571463089218674,3.801262327356273,3.5981964855344812,0.0008282342774613216,16,0.0008282342774613216,-0.47661110916043165,0.25991106734506886,0.2677698174848028,0.2984706438019744,0.0001035858978926173,0.09394810690119214,True,True,True,False
0.08,0.1,0.025,3,0.23501674429249522,1.3939286457196247,3.7900337108266675,2.682704185039353,0.4307746418283595,8,0.4307746418283595,0.4544322681228373,0.19114378964018167,0.248865057993987,0.1993828069104199,0.011775694099779837,0.06977612095680533,True,True,True,True
0.08,0.1,0.025,4,0.2439903444483003,2.686837644310343,5.041776261395498,4.447875914351396,0.28248243413537744,2,0.28248243413537744,0.1362636576143,0.17874520386303333,0.2720177113746574,0.2824245875479373,0.00795433468442427,0.07043052351835498,True,True,True,True
0.08,0.1,0.025,5,0.2035450344330557,2.4931408173045604,5.011319119341671,3.5014795033694206,0.22281098733439494,4,0.22281098733439494,0.08646769682154361,0.18896242355015502,0.26693041063245315,0.21428170608321445,0.00698731766563806,0.06581973300576151,True,True,True,True
0.08,0.1,0.025,6,4.826117804797014e-06,0.007673882090450562,1.5340561153362788,1.4702381169147465,0.0,1,0.0,-4826117.804797014,0.0026470390786343108,0.14837897317014517,0.12970930548425136,1.672577013074204e-06,0.07388830834153993,True,True,True,False
0.08,0.1,0.025,7,0.2606729069268609,7.811902583961362,8.75229128532787,8.21508112179679,1.219532830237146,1,1.219532830237146,0.7862518331087721,0.32291534507561637,0.348257094677121,0.33750369468745584,0.02083588895992335,0.0699077567668964,True,True,True,True
0.08,0.1,0.1,0,0.1503325086669586,1.2827226831289686,3.99992316612502,2.306577453157066,0.3098510722950856,4,0.3098510722950856,0.5148233389885126,0.11095113934921154,0.25931245139441456,0.16312354937962056,0.006954559726832763,0.25550651850666106,True,True,True,True
0.08,0.1,0.1,1,0.013362008896223479,1.0237795420413593,2.5983543618137,0.9852127256749438,0.009541964632163074,2,0.009541964632163074,-0.40034148221260357,0.23512650035563437,0.22750825788818108,0.1603506233000077,0.0009868191604832305,0.24779410652329087,True,True,True,False
