step,residue_coherence,orientation_alignment,corridor_count
0,0.000113359,0.00197777,0
100,0.0111169,0.00221146,0
200,0.0269051,0.00298455,0
300,0.0581696,0.00332419,0
400,0.128398,0.000889025,0
500,0.298061,0.00123533,511
600,0.271245,0.00298032,1563
700,0.246256,0.00303409,2945
800,0.254044,0.00249643,6413
900,0.270551,0.0028885,11904
1000,0.318888,0.00199486,18946
1100,0.373813,0.001886,27888
1200,0.599781,0.00198556,32622
1300,1.3887,0.000773209,32624
1400,3.2383,0.00180066,32626
1500,7.55225,0.0014639,32626
1600,17.6084,0.0013962,32626
1700,41.0439,0.00129549,32626
1800,95.6486,0.00126725,32626
1900,222.846,0.00134615,32626
1999,518.561,0.00161845,32910
