step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.56781e-06,0.0021795,0,0,0
100,7.66319e-05,0.00213415,65536,0,0
200,9.99881e-05,0.00203117,65536,0,0
300,0.000124259,0.00190778,65536,0,0
400,0.000147958,0.00178757,65536,0,0
500,0.000166162,0.00168251,65536,0,0
600,0.000177889,0.00159703,65536,0,0
700,0.000184263,0.00153144,65536,0,0
800,0.000186779,0.00148416,65536,0,0
900,0.000186662,0.00145263,65536,0,0
1000,0.000184788,0.00143396,65536,0,0
1100,0.000181758,0.00142534,65536,0,0
1200,0.000177976,0.00142428,65536,0,0
1300,0.000173713,0.0014287,65536,0,0
1400,0.000169158,0.00143691,65536,0,0
1500,0.000164434,0.00144758,65536,0,0
1600,0.000159631,0.00145976,65536,0,0
1700,0.000154811,0.00147273,65536,0,0
1800,0.000150019,0.00148595,65536,0,0
1900,0.000145285,0.00149905,65536,0,0
1999,0.000140676,0.00151171,65536,0,0
