step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.5664e-06,0.00110871,0,0,0
100,7.65893e-05,0.00110832,65536,0,0
200,0.000100199,0.00112103,65536,0,0
300,0.000124837,0.00114329,65536,0,0
400,0.000148723,0.0011699,65536,0,0
500,0.00016694,0.00119876,65536,0,0
600,0.000178619,0.00122808,65536,0,0
700,0.000184937,0.00125637,65536,0,0
800,0.000187397,0.0012827,65536,0,0
900,0.000187229,0.00130667,65536,0,0
1000,0.000185314,0.00132819,65536,0,0
1100,0.000182247,0.00134738,65536,0,0
1200,0.000178433,0.00136444,65536,0,0
1300,0.000174145,0.00137964,65536,0,0
1400,0.000169564,0.0013932,65536,0,0
1500,0.000164819,0.00140533,65536,0,0
1600,0.000159996,0.00141624,65536,0,0
1700,0.000155158,0.00142608,65536,0,0
1800,0.00015035,0.00143497,65536,0,0
1900,0.000145599,0.00144302,65536,0,0
1999,0.000140976,0.00145027,65536,0,0
