step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,3.14265e-06,0.00263424,0,0,0
100,0.000153391,0.00269668,65495,0,0
200,0.000200768,0.00282067,65535,0,0
300,0.000250358,0.00296162,65536,0,0
400,0.000298619,0.00309897,65536,0,0
500,0.000335397,0.00322352,65536,0,0
600,0.000358838,0.00333302,65536,0,0
700,0.000371366,0.003428,65536,0,0
800,0.000376073,0.00350994,65536,0,0
900,0.000375481,0.0035807,65536,0,0
1000,0.000371374,0.00364192,65536,0,0
1100,0.000364976,0.00369495,65536,0,0
1200,0.000357096,0.00374107,65536,0,0
1300,0.00034829,0.00378128,65536,0,0
1400,0.00033893,0.00381644,65536,0,0
1500,0.000329262,0.00384719,65536,0,0
1600,0.000319471,0.00387414,65536,0,0
1700,0.000309666,0.00389778,65536,0,0
1800,0.000299938,0.00391843,65536,0,0
1900,0.000290345,0.00393659,65536,0,0
1999,0.000281026,0.0039523,65536,0,0
