step,residue_coherence,orientation_alignment,corridor_count
0,9.45454e-05,0.00197777,0
100,0.0103435,0.00198016,0
200,0.0252511,0.00198435,0
300,0.0547496,0.00199317,0
400,0.120655,0.00201352,0
500,0.288401,0.00209539,32
600,0.806572,0.00159156,49192
700,2.44025,0.000853081,65536
800,6.89801,0.00206232,65536
900,18.799,0.000982286,65536
1000,50.8995,0.00141353,65536
1100,137.693,0.00130794,65536
1200,372.438,0.00119799,65536
1300,1007.39,0.00115565,65536
1400,2724.76,0.00116588,65536
1500,7370.04,0.0011659,65536
1600,19934.5,0.00116591,65536
1700,53919.2,0.0011659,65536
1800,145842,0.0011659,65536
1900,394475,0.0011659,65536
1999,1.05641e+06,0.00116589,65536
