step,residue_coherence,orientation_alignment,corridor_count
0,5.79566e-05,0.000264814,0
50,0.00254847,0.000260016,0
100,0.00452112,0.00025018,0
150,0.00627811,0.00023941,0
200,0.00802094,0.000230788,0
250,0.00989571,0.000228863,0
300,0.012018,0.000241555,0
350,0.0144927,0.000277268,0
400,0.0174273,0.000333827,0
450,0.0209385,0.000389886,0
500,0.025163,0.000413411,0
550,0.0302678,0.000388294,0
600,0.0364551,0.000331542,0
650,0.0439872,0.00025799,0
700,0.053188,0.000158345,0
750,0.0644804,7.69879e-05,0
800,0.0784182,7.24058e-05,0
850,0.0957343,7.02018e-05,0
900,0.117422,8.36894e-05,0
950,0.144853,0.000109192,0
999,0.179159,0.000136897,0
