step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.5717e-06,0.00129529,0,0,0
100,7.6832e-05,0.00136934,65536,0,0
200,0.000100567,0.00150134,65536,0,0
300,0.000125141,0.00162657,65536,0,0
400,0.000148957,0.00172959,65536,0,0
500,0.000167123,0.00179986,65536,0,0
600,0.00017874,0.00184814,65536,0,0
700,0.000184993,0.00187891,65536,0,0
800,0.000187391,0.00189051,65536,0,0
900,0.000187174,0.00189748,65536,0,0
1000,0.000185216,0.00189854,65536,0,0
1100,0.000182117,0.00189361,65536,0,0
1200,0.000178279,0.00188531,65536,0,0
1300,0.000173971,0.00187557,65536,0,0
1400,0.000169378,0.00186412,65536,0,0
1500,0.000164625,0.00185449,65536,0,0
1600,0.000159796,0.00184577,65536,0,0
1700,0.000154957,0.00183799,65536,0,0
1800,0.000150147,0.00182814,65536,0,0
1900,0.000145397,0.00181966,65536,0,0
1999,0.000140777,0.00181239,65536,0,0
