step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,3.1434e-06,0.00129529,0,0,0
100,0.000153668,0.00134447,65536,0,0
200,0.000201417,0.00143143,65536,0,0
300,0.000251181,0.00151928,65536,0,0
400,0.000299434,0.00159638,65536,0,0
500,0.000336189,0.00165799,65536,0,0
600,0.000359628,0.00170386,65536,0,0
700,0.000372171,0.00173602,65536,0,0
800,0.0003769,0.00175713,65536,0,0
900,0.00037632,0.00176973,65536,0,0
1000,0.000372218,0.0017759,65536,0,0
1100,0.000365818,0.00177738,65536,0,0
1200,0.000357939,0.00177542,65536,0,0
1300,0.000349125,0.00177103,65536,0,0
1400,0.000339751,0.00176496,65536,0,0
1500,0.000330069,0.00175776,65536,0,0
1600,0.000320253,0.00174984,65536,0,0
1700,0.000310429,0.00174149,65536,0,0
1800,0.000300678,0.00173295,65536,0,0
1900,0.000291064,0.00172439,65536,0,0
1999,0.000281721,0.00171601,65536,0,0
